,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,1.5824342962962963,1.6232429375000001,-0.18834343552589417,miner
1,1,16384,1.4807002093023258,2.131238407407407,-0.14722684025764465,miner
2,2,24576,1.792199057692308,2.9189926410256413,-0.14129994809627533,miner
3,3,32768,2.0665262948717955,3.0804259824561404,-0.1736467033624649,miner
4,4,40960,2.16647351,3.138918373134328,-0.1550268530845642,miner
5,5,49152,2.6394927699999995,3.1878035157894744,-0.11216700077056885,miner
6,6,57344,2.76694222,3.39739156,0.20175717771053314,miner
7,7,65536,2.9508497400000007,3.5820222999999998,0.7497696280479431,miner
8,8,73728,3.11849907,3.7256418,0.9863108992576599,miner
9,9,81920,3.4695088399999996,3.98163672,0.9955608248710632,miner
10,10,90112,3.4251172399999996,3.8389380400000004,1.0,miner
11,11,98304,3.5699109800000004,3.38066108,1.0,miner
12,12,106496,3.45361174,3.2978190700000005,0.9988564252853394,miner
13,13,114688,3.3424167700000003,2.94113199,1.0,miner
14,14,122880,3.1360558799999994,2.77157112,1.0,miner
15,15,131072,3.4499281600000002,3.2513050299999997,1.0,miner
16,16,139264,3.7065889300000006,3.61351156,0.9974716901779175,miner
17,17,147456,3.3209314900000004,3.532511799999999,0.991961658000946,miner
18,18,155648,3.20099555,3.55050471,1.0,miner
19,19,163840,2.91666296,3.51136242,0.9965208768844604,miner
20,20,172032,2.8476236700000004,3.2358264599999997,1.0,miner
21,21,180224,2.9363423799999997,3.2691808300000003,1.0,miner
22,22,188416,3.0233314599999996,3.38959424,1.0,miner
23,23,196608,3.02394047,3.5799243700000005,1.0,miner
24,24,204800,3.05500567,3.6020274500000005,1.0,miner
25,25,212992,3.09055982,3.68425423,1.0,miner
26,26,221184,3.23737219,3.65132318,1.0,miner
27,27,229376,3.0195428900000003,3.8879850900000004,1.0,miner
28,28,237568,3.1193572700000005,4.09137912,1.0,miner
29,29,245760,3.3108856799999997,3.7915945599999996,1.0,miner
30,30,253952,3.41086815,3.4846979399999998,1.0,miner
31,31,262144,3.4486550099999995,3.51398635,1.0,miner
32,32,270336,3.34778603,3.38690074,1.0,miner
33,33,278528,3.2792322400000002,3.2598594000000003,1.0,miner
34,34,286720,3.6278529499999994,3.17511518,1.0,miner
35,35,294912,3.5630830900000006,3.1989774300000007,1.0,miner
36,36,303104,4.105719389999999,3.4278945299999997,0.997363269329071,miner
37,37,311296,4.0069063599999994,3.4757214399999996,1.0,miner
38,38,319488,4.28202522,3.5200833900000004,1.0,miner
39,39,327680,4.11684036,3.52089067,1.0,miner
40,40,335872,3.72713164,3.51735016,0.9910187721252441,miner
41,41,344064,3.6264893600000003,4.22719175,1.0,miner
42,42,352256,3.1717519300000006,4.1837744,0.9988915920257568,miner
43,43,360448,3.36545337,3.92900626,1.0,miner
44,44,368640,3.3035315200000004,3.89463394,0.9999364614486694,miner
45,45,376832,3.36780958,3.701725,1.0,miner
46,46,385024,3.1815653699999995,3.6412422400000004,1.0,miner
47,47,393216,3.09256644,3.2010669899999997,1.0,miner
48,48,401408,2.8704097,3.1710922900000003,1.0,miner
49,49,409600,2.9670475,3.2929161199999997,1.0,miner
50,50,417792,2.7162371399999996,3.1045943299999994,1.0,miner
