,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,1.4829222941176472,0.9587238260869566,-0.06965979188680649,miner
1,1,16384,2.0524229032258066,1.5219603555555554,1.0,miner
2,2,24576,2.07350911627907,1.81093509375,0.14318445324897766,miner
3,3,32768,2.5611692205882357,2.082242166666666,0.6860629916191101,miner
4,4,40960,2.3677708526315793,2.2713312727272728,1.0,miner
5,5,49152,2.4744971300000005,2.61128006,1.0,miner
6,6,57344,2.7968447100000002,2.7161272399999996,1.0,miner
7,7,65536,2.9964891799999998,2.8307539799999994,1.0,miner
8,8,73728,2.74762696,3.0957125299999997,1.0,miner
9,9,81920,2.95871006,3.10373384,1.0,miner
10,10,90112,2.71168705,3.2156359200000004,1.0,miner
11,11,98304,2.5381307900000003,3.0472875999999998,1.0,miner
12,12,106496,2.7336828099999995,3.1267085,1.0,miner
13,13,114688,2.72233399,3.0827720200000006,1.0,miner
14,14,122880,2.4588238899999997,2.54142869,1.0,miner
15,15,131072,2.99342942,2.6866848,1.0,miner
16,16,139264,2.67507636,2.7943306499999996,1.0,miner
17,17,147456,2.8881460299999997,2.9069036699999997,1.0,miner
18,18,155648,3.27487208,3.1084889400000004,1.0,miner
19,19,163840,2.9779029099999996,3.4708594400000004,1.0,miner
20,20,172032,2.8787015200000003,3.4037528000000004,1.0,miner
21,21,180224,3.128453640000001,3.43649257,1.0,miner
22,22,188416,2.99200641,3.70030727,1.0,miner
23,23,196608,2.8528028400000007,3.5283762899999993,1.0,miner
24,24,204800,2.56996146,3.59300853,1.0,miner
25,25,212992,2.72830604,3.92347236,1.0,miner
26,26,221184,2.7024764900000005,3.8235256699999995,1.0,miner
27,27,229376,2.5452426399999997,3.9169604700000002,1.0,miner
28,28,237568,2.8679266400000007,3.74593171,1.0,miner
29,29,245760,3.0961534900000003,3.9395030800000006,1.0,miner
30,30,253952,3.4797214800000003,4.2667739000000005,1.0,miner
31,31,262144,3.29469145,4.39065965,1.0,miner
32,32,270336,3.49434303,3.97886062,1.0,miner
33,33,278528,3.49921467,4.04175905,1.0,miner
34,34,286720,3.7315629800000005,4.13754184,1.0,miner
35,35,294912,3.31563537,4.1322671,1.0,miner
36,36,303104,3.4836212600000005,4.35962024,1.0,miner
37,37,311296,3.8012743599999994,4.25988845,1.0,miner
38,38,319488,4.05405933,4.09304363,1.0,miner
39,39,327680,4.04738347,4.42267815,1.0,miner
40,40,335872,4.067471,4.38613361,1.0,miner
41,41,344064,4.15888194,4.449455260000001,1.0,miner
42,42,352256,4.21727758,4.38329492,1.0,miner
43,43,360448,4.46785063,4.54682387,1.0,miner
44,44,368640,4.13852834,4.77518465,1.0,miner
45,45,376832,4.13713484,4.868517880000001,1.0,miner
46,46,385024,4.228836530000001,4.9310228899999995,1.0,miner
47,47,393216,3.97430118,4.665372059999999,1.0,miner
48,48,401408,4.23051216,4.82523145,1.0,miner
49,49,409600,3.71644898,4.52690542,1.0,miner
50,50,417792,3.72296856,4.59024366,1.0,miner
51,51,425984,3.95050684,4.42114731,1.0,miner
52,52,434176,3.789147450000001,4.3218400699999995,1.0,miner
53,53,442368,3.8530737800000003,3.89541336,1.0,miner
54,54,450560,4.0425866,4.156613600000001,1.0,miner
55,55,458752,3.9419553300000003,4.414693839999999,1.0,miner
56,56,466944,4.44707312,4.38089444,1.0,miner
57,57,475136,4.57564906,4.640600839999999,1.0,miner
58,58,483328,4.532592640000001,4.66532522,1.0,miner
59,59,491520,4.68361518,4.59200171,1.0,miner
60,60,499712,4.52196246,4.4187319700000005,1.0,miner
61,61,507904,4.61431119,4.569014910000001,1.0,miner
62,62,516096,4.38610258,4.02850939,1.0,miner
63,63,524288,4.18003517,4.31193361,1.0,miner
64,64,532480,4.46409726,4.07947725,1.0,miner
65,65,540672,4.56563935,4.1055176399999995,1.0,miner
66,66,548864,4.43656643,3.94039178,1.0,miner
67,67,557056,4.333366430000001,3.8087616200000007,1.0,miner
68,68,565248,4.36814196,3.77640994,1.0,miner
69,69,573440,4.5266645400000005,4.42726549,1.0,miner
70,70,581632,4.45450517,4.61009473,1.0,miner
71,71,589824,4.51295222,4.70809414,1.0,miner
72,72,598016,4.63316394,5.025801900000001,1.0,miner
73,73,606208,4.721907679999999,4.7979952599999995,1.0,miner
74,74,614400,4.74142185,4.794336899999999,1.0,miner
75,75,622592,4.36708078,4.46145585,1.0,miner
76,76,630784,4.325368200000001,4.4902527999999995,1.0,miner
77,77,638976,4.36028452,4.550862850000001,1.0,miner
78,78,647168,4.41825094,4.477375,1.0,miner
79,79,655360,4.2542810499999995,4.51255118,1.0,miner
80,80,663552,4.40477145,4.700389469999999,1.0,miner
81,81,671744,4.69063714,4.51079055,1.0,miner
82,82,679936,4.963228910000001,4.696939560000001,1.0,miner
83,83,688128,4.93000534,4.5954229600000005,1.0,miner
84,84,696320,4.85883738,4.4370385,1.0,miner
85,85,704512,4.825361239999999,4.55943245,1.0,miner
86,86,712704,4.548517650000001,4.48973514,1.0,miner
87,87,720896,4.172806779999999,5.12455142,1.0,miner
88,88,729088,4.00258288,5.246613929999999,1.0,miner
89,89,737280,4.192839000000001,5.407899699999999,1.0,miner
90,90,745472,4.29153339,5.435845660000001,1.0,miner
91,91,753664,4.471026569999999,5.3945963400000005,1.0,miner
92,92,761856,4.61816315,5.322206619999999,1.0,miner
93,93,770048,5.01824807,5.079104210000001,1.0,miner
94,94,778240,5.464415089999999,5.16958433,1.0,miner
95,95,786432,5.529016010000001,5.315006469999999,1.0,miner
96,96,794624,5.386126480000001,5.40230609,1.0,miner
97,97,802816,5.3371071599999995,5.4805542900000015,1.0,miner
98,98,811008,5.761381020000001,5.78210059,1.0,miner
99,99,819200,5.7631284,5.742689999999999,1.0,miner
100,100,827392,5.51737925,6.01468748,1.0,miner
101,101,835584,6.65509507,6.4087290800000005,1.0,miner
102,102,843776,6.6506606999999995,6.43147419,1.0,miner
103,103,851968,6.580213760000001,6.47631309,1.0,miner
104,104,860160,5.973025860000002,6.41881944,1.0,miner
105,105,868352,6.096307929999999,6.601896739999998,1.0,miner
106,106,876544,6.457542450000001,6.40606152,1.0,miner
107,107,884736,6.107550019999999,6.115596909999999,1.0,miner
108,108,892928,5.47035119,5.871533510000001,1.0,miner
109,109,901120,5.69932526,5.62051447,1.0,miner
110,110,909312,5.661016040000001,5.46413036,1.0,miner
111,111,917504,5.416795540000001,5.4274056999999996,1.0,miner
112,112,925696,4.68629828,5.39311106,1.0,miner
113,113,933888,4.56405828,5.35185157,1.0,miner
114,114,942080,4.943984340000001,5.40611111,1.0,miner
115,115,950272,5.17932367,5.3208726,1.0,miner
