,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,1.130115,1.5670591578947368,0.7565974593162537,miner
1,1,16384,1.8052125641025645,2.4260246818181814,0.0009254601900465786,miner
2,2,24576,1.9867022553191491,2.18009785,-0.05473364144563675,miner
3,3,32768,2.123334571428571,2.603886368421053,1.0,miner
4,4,40960,2.323958024390244,2.5607054148936172,1.0,miner
5,5,49152,2.6835553,2.8799611800000005,1.0,miner
6,6,57344,2.8611884699999997,3.1057605700000006,1.0,miner
7,7,65536,3.16411175,3.21436546,1.0,miner
8,8,73728,3.12054823,3.26618778,1.0,miner
9,9,81920,3.12797554,3.452375330000001,0.9895833134651184,miner
10,10,90112,2.5673831300000005,2.9171350199999995,1.0,miner
11,11,98304,2.54257155,3.09129164,1.0,miner
12,12,106496,2.31795233,3.1496342000000004,1.0,miner
13,13,114688,2.5776758099999997,3.24125126,1.0,miner
14,14,122880,2.5227924899999996,3.14267177,1.0,miner
15,15,131072,2.98821458,3.11286453,0.9983052611351013,miner
16,16,139264,3.5215752999999994,3.2384136700000004,1.0,miner
17,17,147456,3.4615728999999997,3.1269386699999995,1.0,miner
18,18,155648,3.22135318,3.1720259599999996,0.9816032648086548,miner
19,19,163840,3.2162510600000003,3.03162293,1.0,miner
20,20,172032,3.373326589999999,3.0675237699999998,0.9997295141220093,miner
21,21,180224,3.4684862300000003,2.91715519,1.0,miner
22,22,188416,3.0950544000000004,2.9251100199999995,1.0,miner
23,23,196608,3.2328933700000007,3.02211234,1.0,miner
24,24,204800,3.63841602,3.0380650100000004,1.0,miner
25,25,212992,3.39442545,2.98552529,0.9998731017112732,miner
26,26,221184,3.37296625,3.22390046,1.0,miner
27,27,229376,3.3530702699999995,3.37042822,1.0,miner
28,28,237568,3.267526669999999,3.07045834,1.0,miner
29,29,245760,3.44056921,3.2511624399999994,1.0,miner
30,30,253952,3.2926882400000004,3.4531104,1.0,miner
31,31,262144,3.13813043,3.4555587200000004,0.9996336698532104,miner
32,32,270336,3.0776347600000005,3.87732788,0.9944628477096558,miner
33,33,278528,2.76157396,4.35889472,0.9884160757064819,miner
34,34,286720,2.3721340900000003,4.32331763,1.0,miner
35,35,294912,2.79047168,3.82856808,1.0,miner
36,36,303104,3.1120151199999992,3.6305314400000004,1.0,miner
37,37,311296,3.30102175,3.4669718399999994,0.9872570037841797,miner
38,38,319488,3.26856158,3.55922144,0.999911904335022,miner
39,39,327680,3.4244725099999997,3.8806194499999997,1.0,miner
40,40,335872,3.3361566099999997,4.162545239999999,1.0,miner
41,41,344064,3.26460241,4.281437749999999,1.0,miner
42,42,352256,3.2620431300000003,4.29344564,1.0,miner
43,43,360448,3.25672739,3.9670898899999996,1.0,miner
44,44,368640,3.4398695299999997,3.79065626,1.0,miner
45,45,376832,3.5665871800000004,4.1105588299999996,1.0,miner
46,46,385024,3.68878652,4.13014302,1.0,miner
47,47,393216,4.003939999999999,3.9388196399999993,0.9997658133506775,miner
48,48,401408,3.8064397100000003,3.76484849,0.9997627139091492,miner
49,49,409600,3.80521005,3.5379214799999996,0.9986702799797058,miner
50,50,417792,3.46037373,3.24943947,1.0,miner
51,51,425984,3.3608210600000006,3.1548633900000005,1.0,miner
52,52,434176,3.4928546700000003,3.0841798999999996,1.0,miner
53,53,442368,3.41254597,3.0848408800000002,1.0,miner
54,54,450560,3.4131056,3.55877455,1.0,miner
55,55,458752,3.38185311,3.83923815,1.0,miner
56,56,466944,3.4131338100000006,3.8650149899999997,1.0,miner
57,57,475136,3.7328492800000004,3.74101517,1.0,miner
58,58,483328,3.5714996899999996,3.7097098100000006,1.0,miner
59,59,491520,3.667323,3.93035297,1.0,miner
60,60,499712,3.5428607199999997,3.89486282,1.0,miner
61,61,507904,3.7367382399999998,4.012865919999999,1.0,miner
62,62,516096,3.6349975999999997,3.78244596,1.0,miner
63,63,524288,3.824439580000001,4.09359563,1.0,miner
64,64,532480,3.8875033,4.17844314,1.0,miner
65,65,540672,4.04097076,3.8621317099999994,1.0,miner
66,66,548864,4.31761333,3.45879513,1.0,miner
67,67,557056,3.8060681,3.3954183000000002,1.0,miner
68,68,565248,3.6687293300000006,3.71592548,1.0,miner
69,69,573440,3.7580137699999994,3.5609525199999994,0.9977647066116333,miner
70,70,581632,3.91608528,3.4286857299999998,1.0,miner
71,71,589824,4.19295849,3.35812895,0.9998906254768372,miner
72,72,598016,4.3490386800000005,3.9531450400000008,0.9988583326339722,miner
73,73,606208,4.776639499999999,3.981313709999999,1.0,miner
74,74,614400,4.92610008,4.449486960000001,1.0,miner
75,75,622592,4.787092190000001,4.91112415,1.0,miner
76,76,630784,4.8357768,5.600358259999999,0.987151026725769,miner
77,77,638976,4.72548325,5.96775608,0.9911709427833557,miner
78,78,647168,4.94033884,5.91354543,0.981792688369751,miner
79,79,655360,4.825570330000001,5.989696999999999,0.9997339844703674,miner
80,80,663552,4.77417157,6.154933229999999,1.0,miner
81,81,671744,4.81139397,6.268959980000001,1.0,miner
82,82,679936,4.994579020000001,6.424509969999999,1.0,miner
83,83,688128,5.393955490000001,5.969062730000001,1.0,miner
84,84,696320,5.294523750000001,5.686805129999998,1.0,miner
85,85,704512,5.1134439899999995,4.929784700000001,0.998962938785553,miner
86,86,712704,5.0772010000000005,4.90201874,1.0,miner
87,87,720896,5.338150539999999,4.50401478,1.0,miner
88,88,729088,5.388925240000001,3.8152063500000004,1.0,miner
89,89,737280,4.6319105,4.18252854,1.0,miner
90,90,745472,4.510090590000001,4.6784384999999995,1.0,miner
91,91,753664,4.65986006,4.69901912,1.0,miner
92,92,761856,4.79993609,4.98934072,1.0,miner
93,93,770048,4.474034840000001,4.90924907,1.0,miner
94,94,778240,4.739693470000001,5.228372919999999,1.0,miner
95,95,786432,4.7323091,4.80450337,1.0,miner
96,96,794624,4.641827190000001,4.710939239999999,1.0,miner
97,97,802816,3.8848607899999994,4.573363139999999,1.0,miner
98,98,811008,4.165741789999999,4.8094161600000005,1.0,miner
99,99,819200,4.12155196,4.95683154,1.0,miner
100,100,827392,4.44868064,5.178344190000001,1.0,miner
101,101,835584,4.988582839999999,5.86698887,1.0,miner
102,102,843776,5.08245157,6.240565130000001,1.0,miner
103,103,851968,5.407303569999998,6.533011550000001,1.0,miner
104,104,860160,5.45890567,6.551696519999999,1.0,miner
105,105,868352,5.633384289999999,6.379446210000001,1.0,miner
106,106,876544,5.7217059599999995,6.496046609999999,1.0,miner
107,107,884736,5.761422820000002,6.204200810000001,1.0,miner
108,108,892928,6.57677952,5.404069939999999,1.0,miner
109,109,901120,6.41022481,4.83620566,1.0,miner
110,110,909312,6.47047339,5.143521959999999,1.0,miner
111,111,917504,6.7966117100000005,5.381015779999999,1.0,miner
112,112,925696,6.04578725,5.319973129999999,1.0,miner
113,113,933888,6.069091189999999,5.850888929999999,1.0,miner
114,114,942080,6.31261145,5.815813489999998,1.0,miner
115,115,950272,5.64923714,5.77744112,1.0,miner
116,116,958464,5.34351721,6.58368948,1.0,miner
117,117,966656,5.15605572,6.349020210000003,1.0,miner
118,118,974848,4.94013679,6.372376040000001,0.9978733658790588,miner
119,119,983040,5.231061609999999,6.198735740000001,1.0,miner
120,120,991232,4.707687569999999,5.733319740000001,0.9872016906738281,miner
121,121,999424,4.526381679999999,5.67635273,0.9868720173835754,miner
122,122,1007616,4.540767939999999,5.3713101000000005,1.0,miner
123,123,1015808,4.650869289999999,5.04279799,1.0,miner
124,124,1024000,4.73271608,4.39433931,1.0,miner
125,125,1032192,4.591836769999999,4.70460848,1.0,miner
126,126,1040384,4.645417759999999,4.952164989999999,1.0,miner
127,127,1048576,4.8102257,5.37212584,1.0,miner
128,128,1056768,5.3140757,5.24466869,1.0,miner
129,129,1064960,5.59362476,5.49156181,1.0,miner
130,130,1073152,6.07413261,5.745491879999999,1.0,miner
131,131,1081344,6.144318900000001,5.7520777800000005,1.0,miner
132,132,1089536,6.294651770000001,5.539434130000001,1.0,miner
133,133,1097728,6.48379689,5.5544188199999995,1.0,miner
134,134,1105920,6.103930849999999,5.28030275,1.0,miner
135,135,1114112,6.101161269999999,5.1868732699999995,1.0,miner
136,136,1122304,6.034841520000001,5.24009901,1.0,miner
137,137,1130496,5.593672420000001,5.311917040000001,1.0,miner
