,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,2.0,2.3529411764705883,-0.1291101574897766,ninja
1,1,16384,2.4390243902439024,3.5714285714285716,0.6277005672454834,ninja
2,2,24576,2.6666666666666665,3.8636363636363638,0.9668750166893005,ninja
3,3,32768,2.6436781609195403,3.4722222222222223,0.9569183588027954,ninja
4,4,40960,2.8,2.765957446808511,0.9525634050369263,ninja
5,5,49152,2.9,2.4,0.9492974281311035,ninja
6,6,57344,2.6,2.2,0.9428505897521973,ninja
7,7,65536,2.1,3.2,0.9752904772758484,ninja
8,8,73728,2.6,3.7,0.9831257462501526,ninja
9,9,81920,2.9,3.0,0.9621568918228149,ninja
10,10,90112,4.1,3.5,0.9386065006256104,ninja
11,11,98304,4.0,3.6,0.9159483909606934,ninja
12,12,106496,3.9,2.8,-0.1378050148487091,ninja
13,13,114688,3.2,3.2,0.9841400384902954,ninja
14,14,122880,4.0,4.2,1.0,ninja
15,15,131072,4.5,3.3,0.9923443794250488,ninja
16,16,139264,3.8,3.6,0.9769316911697388,ninja
17,17,147456,3.6,4.4,0.9356333017349243,ninja
18,18,155648,2.3,4.0,0.9231262803077698,ninja
19,19,163840,3.8,4.1,0.9189786911010742,ninja
20,20,172032,4.1,3.7,0.9856035113334656,ninja
21,21,180224,3.6,3.5,0.9957235455513,ninja
22,22,188416,4.9,3.6,0.9965556859970093,ninja
23,23,196608,3.4,3.9,1.0,ninja
24,24,204800,3.4,3.5,0.9943150281906128,ninja
25,25,212992,3.8,3.8,0.8572916984558105,ninja
26,26,221184,3.9,4.5,1.0,ninja
27,27,229376,3.5,3.1,0.9850854277610779,ninja
28,28,237568,3.9,4.5,0.39007872343063354,ninja
29,29,245760,3.0,3.6,-0.13512566685676575,ninja
30,30,253952,4.6,3.9,0.021398276090621948,ninja
31,31,262144,4.0,3.4,-0.11951542645692825,ninja
32,32,270336,4.0,3.7,-0.09109212458133698,ninja
33,33,278528,3.7,4.3,-0.0042434632778167725,ninja
34,34,286720,4.0,4.5,-0.1380644589662552,ninja
35,35,294912,3.3,4.3,-0.13342002034187317,ninja
36,36,303104,4.7,4.1,-0.057852569967508316,ninja
37,37,311296,4.0,4.3,-0.03807227686047554,ninja
38,38,319488,4.2,4.3,-0.09719319641590118,ninja
39,39,327680,3.6,4.1,-0.08593547344207764,ninja
40,40,335872,4.1,3.3,-0.15337342023849487,ninja
41,41,344064,3.2,3.8,0.0956917554140091,ninja
42,42,352256,4.6,3.9,1.0,ninja
43,43,360448,4.4,4.6,1.0,ninja
44,44,368640,4.2,4.7,1.0,ninja
45,45,376832,5.2,4.3,1.0,ninja
46,46,385024,4.6,5.4,1.0,ninja
47,47,393216,3.8,4.2,1.0,ninja
48,48,401408,3.7,4.5,1.0,ninja
49,49,409600,3.3,5.0,1.0,ninja
50,50,417792,5.1,4.3,1.0,ninja
51,51,425984,4.7,4.6,1.0,ninja
52,52,434176,4.8,4.6,1.0,ninja
53,53,442368,3.7,5.4,1.0,ninja
54,54,450560,3.6,4.7,1.0,ninja
55,55,458752,4.6,4.0,1.0,ninja
56,56,466944,4.0,5.3,1.0,ninja
57,57,475136,4.2,4.1,1.0,ninja
58,58,483328,4.4,4.6,1.0,ninja
59,59,491520,4.7,3.4,1.0,ninja
60,60,499712,4.1,4.4,1.0,ninja
61,61,507904,4.9,3.7,1.0,ninja
62,62,516096,3.7,3.1,1.0,ninja
63,63,524288,5.3,2.9,1.0,ninja
64,64,532480,3.9,4.4,1.0,ninja
65,65,540672,4.3,4.5,1.0,ninja
66,66,548864,3.8,3.9,1.0,ninja
67,67,557056,4.2,4.9,1.0,ninja
68,68,565248,3.0,4.0,1.0,ninja
69,69,573440,4.6,3.7,1.0,ninja
70,70,581632,4.7,2.8,1.0,ninja
71,71,589824,4.8,3.8,1.0,ninja
72,72,598016,4.0,4.5,1.0,ninja
73,73,606208,4.6,3.5,1.0,ninja
74,74,614400,4.3,4.4,1.0,ninja
75,75,622592,4.3,4.3,1.0,ninja
76,76,630784,4.0,4.0,1.0,ninja
77,77,638976,4.0,4.6,1.0,ninja
78,78,647168,3.5,4.4,1.0,ninja
79,79,655360,4.5,5.1,1.0,ninja
80,80,663552,5.0,3.8,1.0,ninja
81,81,671744,4.4,4.1,1.0,ninja
82,82,679936,3.8,3.7,1.0,ninja
83,83,688128,4.8,4.1,1.0,ninja
84,84,696320,3.9,3.8,1.0,ninja
85,85,704512,4.7,4.2,1.0,ninja
86,86,712704,4.6,4.8,1.0,ninja
87,87,720896,3.8,4.3,1.0,ninja
88,88,729088,4.4,4.6,1.0,ninja
89,89,737280,5.0,4.5,1.0,ninja
90,90,745472,4.6,4.6,1.0,ninja
91,91,753664,5.1,4.6,1.0,ninja
92,92,761856,4.4,4.4,1.0,ninja
93,93,770048,4.4,4.4,1.0,ninja
94,94,778240,4.2,5.0,1.0,ninja
95,95,786432,4.6,3.6,1.0,ninja
96,96,794624,4.3,4.4,1.0,ninja
97,97,802816,5.0,4.5,1.0,ninja
98,98,811008,5.3,4.1,1.0,ninja
99,99,819200,4.8,4.0,0.9978498220443726,ninja
100,100,827392,5.3,4.4,0.9977691769599915,ninja
101,101,835584,4.6,5.3,1.0,ninja
102,102,843776,4.8,4.4,1.0,ninja
103,103,851968,4.1,4.0,1.0,ninja
104,104,860160,4.2,4.4,1.0,ninja
105,105,868352,5.3,5.3,1.0,ninja
106,106,876544,5.2,4.9,1.0,ninja
107,107,884736,5.5,4.6,1.0,ninja
108,108,892928,5.4,4.9,1.0,ninja
109,109,901120,4.5,4.0,1.0,ninja
110,110,909312,4.5,5.5,1.0,ninja
111,111,917504,5.0,4.5,1.0,ninja
112,112,925696,4.9,5.0,1.0,ninja
113,113,933888,4.0,3.9,1.0,ninja
114,114,942080,4.3,4.3,1.0,ninja
115,115,950272,4.4,4.7,1.0,ninja
116,116,958464,4.694911820000001,4.9,1.0,ninja
117,117,966656,5.09077107,5.1,1.0,ninja
