,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,2.6666666666666665,2.2222222222222223,-0.09478209167718887,ninja
1,1,16384,2.3333333333333335,2.8125,-0.21393777430057526,ninja
2,2,24576,2.6,2.765957446808511,-0.08725527673959732,ninja
3,3,32768,2.7777777777777777,2.727272727272727,1.0,ninja
4,4,40960,2.525252525252525,2.6744186046511627,1.0,ninja
5,5,49152,3.0,2.9,1.0,ninja
6,6,57344,3.0,2.8,1.0,ninja
7,7,65536,3.7,3.4,1.0,ninja
8,8,73728,3.8,3.8,1.0,ninja
9,9,81920,2.8,3.2,1.0,ninja
10,10,90112,3.0,4.0,1.0,ninja
11,11,98304,3.2,3.2,1.0,ninja
12,12,106496,3.3,3.6,1.0,ninja
13,13,114688,4.1,3.8,1.0,ninja
14,14,122880,3.8,3.1,1.0,ninja
15,15,131072,4.4,4.3,1.0,ninja
16,16,139264,3.2,4.5,1.0,ninja
17,17,147456,3.2,3.7,1.0,ninja
18,18,155648,3.6,3.9,1.0,ninja
19,19,163840,3.0,5.0,1.0,ninja
20,20,172032,3.9,4.6,1.0,ninja
21,21,180224,4.1,4.4,1.0,ninja
22,22,188416,3.6,4.3,1.0,ninja
23,23,196608,4.1,4.0,1.0,ninja
24,24,204800,4.1,3.7,1.0,ninja
25,25,212992,3.6,3.9,1.0,ninja
26,26,221184,3.7,3.5,1.0,ninja
27,27,229376,3.5,4.3,1.0,ninja
28,28,237568,4.0,3.7,1.0,ninja
29,29,245760,3.9,4.0,1.0,ninja
30,30,253952,4.7,3.8,1.0,ninja
31,31,262144,4.0,3.7,1.0,ninja
32,32,270336,3.2,4.6,1.0,ninja
33,33,278528,4.2,4.2,1.0,ninja
34,34,286720,3.3,3.8,1.0,ninja
35,35,294912,4.3,4.2,1.0,ninja
36,36,303104,4.5,3.7,1.0,ninja
37,37,311296,4.5,4.6,1.0,ninja
38,38,319488,3.8,4.1,1.0,ninja
39,39,327680,4.1,4.0,1.0,ninja
40,40,335872,4.4,4.3,1.0,ninja
41,41,344064,5.6,4.4,1.0,ninja
42,42,352256,4.1,3.5,1.0,ninja
43,43,360448,4.1,4.0,1.0,ninja
44,44,368640,3.6,4.3,1.0,ninja
45,45,376832,3.6,4.7,1.0,ninja
46,46,385024,5.0,4.7,1.0,ninja
47,47,393216,4.1,3.9,1.0,ninja
48,48,401408,3.6,3.5,1.0,ninja
49,49,409600,4.2,4.3,1.0,ninja
50,50,417792,4.3,4.0,1.0,ninja
51,51,425984,3.7,5.0,1.0,ninja
52,52,434176,5.0,4.2,1.0,ninja
53,53,442368,4.5,4.4,1.0,ninja
54,54,450560,4.5,3.8,1.0,ninja
55,55,458752,5.2,5.1,1.0,ninja
56,56,466944,5.0,4.5,1.0,ninja
57,57,475136,4.4,5.5,1.0,ninja
58,58,483328,4.2,4.2,1.0,ninja
59,59,491520,4.4,4.1,1.0,ninja
60,60,499712,4.3,3.6,1.0,ninja
61,61,507904,4.2,4.5,1.0,ninja
62,62,516096,4.6,4.6,1.0,ninja
63,63,524288,4.4,4.0,1.0,ninja
64,64,532480,4.7,3.9,1.0,ninja
65,65,540672,4.7,4.3,1.0,ninja
66,66,548864,4.1,4.1,1.0,ninja
67,67,557056,4.2,4.7,1.0,ninja
68,68,565248,4.4,3.8,1.0,ninja
69,69,573440,3.6,3.6,1.0,ninja
70,70,581632,5.0,3.8,1.0,ninja
71,71,589824,3.9,4.6,1.0,ninja
72,72,598016,4.4,4.2,1.0,ninja
73,73,606208,4.8,4.4,1.0,ninja
74,74,614400,4.5,3.5,1.0,ninja
75,75,622592,4.7,3.9,1.0,ninja
76,76,630784,4.5,4.1,1.0,ninja
77,77,638976,4.4,4.5,1.0,ninja
78,78,647168,3.6,4.7,1.0,ninja
79,79,655360,4.7,3.5,1.0,ninja
80,80,663552,4.2,4.9,1.0,ninja
81,81,671744,4.0,4.2,1.0,ninja
82,82,679936,4.3,3.2,1.0,ninja
83,83,688128,5.2,3.4,1.0,ninja
84,84,696320,4.8,4.0,1.0,ninja
85,85,704512,4.4,4.2,1.0,ninja
86,86,712704,4.3,4.7,1.0,ninja
87,87,720896,5.4,4.5,1.0,ninja
88,88,729088,3.7,5.0,1.0,ninja
89,89,737280,4.2,3.6,1.0,ninja
90,90,745472,5.2,4.5,1.0,ninja
91,91,753664,5.3,4.7,1.0,ninja
92,92,761856,4.6,5.0,1.0,ninja
93,93,770048,5.5,4.2,1.0,ninja
