,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,0.0,1.25,-0.18818268179893494,ninja
1,1,16384,2.2222222222222223,3.2,-0.1473698616027832,ninja
2,2,24576,1.5789473684210527,2.7083333333333335,-0.15538756549358368,ninja
3,3,32768,1.9642857142857142,2.4285714285714284,-0.15518003702163696,ninja
4,4,40960,2.25,2.5,-0.17907816171646118,ninja
5,5,49152,2.7,2.7,-0.14585153758525848,ninja
6,6,57344,3.0,2.5,-0.11085222661495209,ninja
7,7,65536,2.7,3.1,-0.11948640644550323,ninja
8,8,73728,2.9,3.3,-0.13767538964748383,ninja
9,9,81920,3.6,3.1,-0.1465417891740799,ninja
10,10,90112,3.7,2.9,-0.16592366993427277,ninja
11,11,98304,3.9,3.0,-0.1526859849691391,ninja
12,12,106496,3.9,4.0,-0.21469928324222565,ninja
13,13,114688,3.7,3.7,-0.1589803546667099,ninja
14,14,122880,3.3,2.8,-0.15403521060943604,ninja
15,15,131072,4.0,3.0,-0.12107624858617783,ninja
16,16,139264,4.1,3.5,-0.06890843063592911,ninja
17,17,147456,4.3,5.2,-0.04418667033314705,ninja
18,18,155648,3.3,4.5,0.9007260203361511,ninja
19,19,163840,3.1,3.7,0.9869377017021179,ninja
20,20,172032,3.5,3.6,0.8659041523933411,ninja
21,21,180224,2.9,4.7,0.5393524765968323,ninja
22,22,188416,4.0,3.9,0.4040238857269287,ninja
23,23,196608,3.5,4.0,0.9958332777023315,ninja
24,24,204800,4.5,4.2,1.0,ninja
25,25,212992,4.0,4.3,0.9866061806678772,ninja
26,26,221184,4.6,4.4,0.1251923143863678,ninja
27,27,229376,3.6,3.7,0.34076863527297974,ninja
28,28,237568,4.1,4.4,0.9963163733482361,ninja
29,29,245760,4.3,3.7,0.9703407287597656,ninja
30,30,253952,4.5,4.2,0.995535671710968,ninja
31,31,262144,5.1,4.0,0.002442852361127734,ninja
32,32,270336,4.1,4.3,0.9989916682243347,ninja
33,33,278528,3.5,3.9,0.9975793361663818,ninja
34,34,286720,4.9,3.4,1.0,ninja
35,35,294912,3.4,3.9,1.0,ninja
36,36,303104,4.1,4.3,1.0,ninja
37,37,311296,3.9,4.6,1.0,ninja
38,38,319488,3.3,5.0,1.0,ninja
39,39,327680,5.1,4.1,1.0,ninja
40,40,335872,4.6,4.6,1.0,ninja
41,41,344064,4.2,4.9,1.0,ninja
42,42,352256,4.3,4.7,1.0,ninja
43,43,360448,4.8,4.4,1.0,ninja
44,44,368640,4.6,3.9,1.0,ninja
45,45,376832,5.1,4.1,1.0,ninja
46,46,385024,4.4,4.2,1.0,ninja
47,47,393216,4.6,4.1,1.0,ninja
48,48,401408,4.2,5.0,1.0,ninja
49,49,409600,4.8,3.6,1.0,ninja
50,50,417792,4.6,3.7,1.0,ninja
51,51,425984,5.1,3.2,1.0,ninja
52,52,434176,5.3,4.6,1.0,ninja
53,53,442368,4.3,4.1,1.0,ninja
54,54,450560,4.4,4.5,1.0,ninja
55,55,458752,4.4,4.3,1.0,ninja
56,56,466944,4.9,5.0,1.0,ninja
57,57,475136,3.6,4.3,1.0,ninja
58,58,483328,4.1,4.7,1.0,ninja
59,59,491520,4.6,4.6,1.0,ninja
60,60,499712,4.8,4.5,1.0,ninja
61,61,507904,4.0,4.5,1.0,ninja
62,62,516096,4.9,3.7,1.0,ninja
63,63,524288,4.1,4.1,1.0,ninja
64,64,532480,3.8,4.5,1.0,ninja
65,65,540672,3.7,4.9,1.0,ninja
66,66,548864,4.6,4.0,1.0,ninja
67,67,557056,4.5,5.0,1.0,ninja
68,68,565248,5.0,3.6,1.0,ninja
69,69,573440,5.3,4.3,1.0,ninja
70,70,581632,4.9,4.4,1.0,ninja
71,71,589824,4.6,4.4,1.0,ninja
72,72,598016,3.7,4.7,1.0,ninja
73,73,606208,3.1,4.7,1.0,ninja
74,74,614400,4.9,4.5,1.0,ninja
75,75,622592,5.9,4.7,1.0,ninja
76,76,630784,4.9,4.6,1.0,ninja
77,77,638976,4.5,4.7,1.0,ninja
78,78,647168,4.9,4.7,1.0,ninja
79,79,655360,4.0,3.5,1.0,ninja
80,80,663552,4.6,4.6,1.0,ninja
81,81,671744,4.2,3.3,1.0,ninja
82,82,679936,4.8,4.5,1.0,ninja
83,83,688128,5.7,4.6,1.0,ninja
84,84,696320,5.0,4.1,1.0,ninja
85,85,704512,4.7,3.5,1.0,ninja
86,86,712704,4.9,4.3,1.0,ninja
87,87,720896,4.1,4.1,1.0,ninja
88,88,729088,5.0,4.9,1.0,ninja
89,89,737280,4.5,4.4,1.0,ninja
90,90,745472,4.1,4.2,1.0,ninja
91,91,753664,3.9,5.1,1.0,ninja
92,92,761856,4.1,4.4,1.0,ninja
93,93,770048,3.9,4.4,1.0,ninja
94,94,778240,4.4,4.1,1.0,ninja
95,95,786432,3.8,3.7,1.0,ninja
96,96,794624,4.7,5.3,1.0,ninja
97,97,802816,5.0,4.8,1.0,ninja
98,98,811008,4.0,4.7,1.0,ninja
99,99,819200,4.5,4.7,0.9986377954483032,ninja
100,100,827392,4.8,5.6,0.9958326816558838,ninja
101,101,835584,4.4,5.498963409999999,1.0,ninja
102,102,843776,4.9,4.692580670000001,1.0,ninja
103,103,851968,3.8,4.88624382,0.9989911913871765,ninja
104,104,860160,4.4,4.58261893,1.0,ninja
105,105,868352,4.397788970000001,5.07477366,0.9937483668327332,ninja
106,106,876544,4.8903317699999995,4.9680607000000006,0.9317768812179565,ninja
107,107,884736,4.685815229999999,3.3767281000000002,0.8680453300476074,ninja
108,108,892928,5.17734788,5.16024112,0.9328115582466125,ninja
109,109,901120,4.276497900000001,4.759811160000001,0.9525633454322815,ninja
110,110,909312,4.569620629999999,4.85618161,0.9612624049186707,ninja
111,111,917504,4.0686361699999996,4.45486006,0.9247443079948425,ninja
112,112,925696,4.45899221,3.8576478599999997,0.8575359582901001,ninja
113,113,933888,4.8524416100000005,4.44483822,0.6023734211921692,ninja
114,114,942080,4.4524257799999996,4.7362075500000005,0.5161044001579285,ninja
115,115,950272,4.4470776,4.53670626,-0.005025314632803202,ninja
116,116,958464,4.34588673,4.92834632,0.1953601837158203,ninja
117,117,966656,4.04723025,3.34928108,0.04946614056825638,ninja
118,118,974848,4.53859227,4.92347543,0.07046367973089218,ninja
119,119,983040,3.25449998,4.036478300000001,-0.0766431987285614,ninja
120,120,991232,4.4396616799999995,4.32987483,-0.1210780218243599,ninja
121,121,999424,3.9443299300000003,3.7375670100000002,-0.06707514822483063,ninja
122,122,1007616,4.535096299999999,4.816992730000001,-0.15639744699001312,ninja
123,123,1015808,3.7459603300000004,4.224725449999999,0.059432514011859894,ninja
124,124,1024000,4.92663844,5.2072914500000005,0.9995006322860718,ninja
125,125,1032192,4.23262608,3.82971053,1.0,ninja
126,126,1040384,3.6402380899999995,3.73163657,0.17705312371253967,ninja
127,127,1048576,4.527327639999999,4.02927141,0.025694867596030235,ninja
128,128,1056768,4.42646849,4.224673360000001,-0.04764723777770996,ninja
129,129,1064960,3.7383614699999996,3.83111266,0.4285559356212616,ninja
130,130,1073152,4.031393629999999,4.41953903,-0.11515787243843079,ninja
131,131,1081344,4.42017618,4.31989776,-0.1314440816640854,ninja
132,132,1089536,4.22086674,4.711266930000001,-0.14453531801700592,ninja
133,133,1097728,4.803968899999999,4.51338901,-0.1656242161989212,ninja
134,134,1105920,4.2149031500000005,4.513799329999999,-0.1397935450077057,ninja
135,135,1114112,4.60400361,3.72903305,-0.17658592760562897,ninja
136,136,1122304,4.3073945700000005,4.21850203,-0.14066949486732483,ninja
137,137,1130496,4.20699938,3.82462987,-0.20863579213619232,ninja
138,138,1138688,4.69517246,4.706883449999999,-0.1633327156305313,ninja
139,139,1146880,4.2053806400000004,4.41167669,-0.0690951868891716,ninja
140,140,1155072,4.10821685,4.2138439299999995,-0.17313601076602936,ninja
141,141,1163264,4.20686503,3.91901564,-0.19451302289962769,ninja
142,142,1171456,4.20665641,3.9191085099999996,-0.2037120759487152,ninja
143,143,1179648,4.696322160000001,3.7233200899999996,-0.25134217739105225,ninja
144,144,1187840,4.59734708,4.70531645,-0.023413415998220444,ninja
145,145,1196032,3.7180717,4.803475090000001,0.03690639138221741,ninja
146,146,1204224,3.62091914,5.48778149,0.08049273490905762,ninja
147,147,1212416,4.109442489999999,3.91965783,0.14862221479415894,ninja
148,148,1220608,5.378855209999999,3.82308771,-0.049921803176403046,ninja
149,149,1228800,4.107179220000001,3.43198039,-0.19496236741542816,ninja
150,150,1236992,4.49930281,3.23587942,-0.13692615926265717,ninja
151,151,1245184,4.01074272,4.0217015,0.054327718913555145,ninja
152,152,1253376,4.012446260000001,4.80610388,-0.07559654861688614,ninja
153,153,1261568,4.99307972,3.2367605000000004,0.0011874692281708121,ninja
154,154,1269760,4.40550641,3.62850753,0.1304118037223816,ninja
155,155,1277952,4.69828618,3.6296038399999997,0.13188256323337555,ninja
156,156,1286144,4.01214826,4.31620033,0.15597185492515564,ninja
157,157,1294336,4.79311392,4.51193105,0.19244663417339325,ninja
158,158,1302528,4.4992407100000005,4.70868343,0.04743277654051781,ninja
159,159,1310720,4.40081998,5.097803409999999,-0.001820264500565827,ninja
160,160,1318912,4.791428239999999,3.8215148,-0.08736813813447952,ninja
161,161,1327104,4.20318255,4.40848242,0.1557711511850357,ninja
162,162,1335296,4.10542482,4.2116962000000004,0.09007293730974197,ninja
163,163,1343488,5.1794810600000005,4.40922721,-0.04580926522612572,ninja
164,164,1351680,3.51752697,4.40725394,0.11305848509073257,ninja
165,165,1359872,4.30011793,4.11200789,0.07578657567501068,ninja
166,166,1368064,4.20200074,4.893941109999999,0.1550515592098236,ninja
167,167,1376256,4.2013169,4.59602419,0.18731184303760529,ninja
168,168,1384448,4.00430053,5.18002673,0.2706751227378845,ninja
169,169,1392640,4.10131114,4.10058838,0.15289290249347687,ninja
170,170,1400832,4.58705929,3.7070515299999998,0.04157065227627754,ninja
171,171,1409024,3.80396065,4.191677339999999,0.20441879332065582,ninja
172,172,1417216,3.9976408300000004,4.28866388,0.10702139884233475,ninja
173,173,1425408,4.87326996,4.67637651,-0.07828471064567566,ninja
174,174,1433600,4.576881439999999,4.380575820000001,0.1255362331867218,ninja
175,175,1441792,3.99344146,4.28147641,0.16846618056297302,ninja
176,176,1449984,4.18427397,4.374976589999999,0.14729808270931244,ninja
177,177,1458176,4.667575019999999,4.081077179999999,0.2823466956615448,ninja
178,178,1466368,4.27635511,4.275062849999999,0.10885251313447952,ninja
179,179,1474560,3.9838139699999995,4.66209874,0.19662387669086456,ninja
180,180,1482752,4.759933780000001,3.8850152500000004,0.08720211684703827,ninja
181,181,1490944,4.36968136,4.0791476399999995,0.06452992558479309,ninja
182,182,1499136,3.397603650000001,4.56473978,0.26272210478782654,ninja
183,183,1507328,4.46453009,4.8547037799999995,0.28969618678092957,ninja
184,184,1515520,4.07400119,4.560177629999999,0.28520452976226807,ninja
185,185,1523712,3.5890469,4.074119649999999,0.30634886026382446,ninja
186,186,1531904,4.65477316,4.26714732,0.25958389043807983,ninja
187,187,1540096,4.654186870000001,4.3646826,0.2984846234321594,ninja
188,188,1548288,4.65134778,3.8803600600000006,0.42797499895095825,ninja
189,189,1556480,4.6500379700000005,4.36704315,0.26668229699134827,ninja
190,190,1564672,4.16517764,4.462609989999999,0.2797136604785919,ninja
191,191,1572864,3.00388098,3.8813719499999997,0.2784712016582489,ninja
192,192,1581056,4.1685129100000005,3.88325019,0.17908985912799835,ninja
193,193,1589248,4.6555290000000005,4.65954921,0.2665725648403168,ninja
194,194,1597440,4.26852651,4.272464609999999,0.28285977244377136,ninja
195,195,1605632,4.269283290000001,4.658624720000001,0.21440531313419342,ninja
196,196,1613824,4.26918455,3.8828063100000003,0.1335371434688568,ninja
197,197,1622016,4.85213747,4.75494915,0.17953644692897797,ninja
198,198,1630208,4.561032780000001,4.85020742,0.25394541025161743,ninja
199,199,1638400,3.7837497399999993,4.3647815,0.19764786958694458,ninja
200,200,1646592,4.65807031,4.462491750000001,0.17620423436164856,ninja
201,201,1654784,3.2025292899999998,3.97694683,0.18654616177082062,ninja
202,202,1662976,4.56021035,4.17040241,0.14154045283794403,ninja
203,203,1671168,4.55776992,4.07313026,-0.06815774738788605,ninja
204,204,1679360,4.2668810399999995,5.04244625,-0.16331307590007782,ninja
205,205,1687552,4.5558064300000005,5.4280902300000005,-0.12601904571056366,ninja
206,206,1695744,4.84495904,4.45669512,-0.08154217153787613,ninja
207,207,1703936,4.747518,4.35863874,-0.09122495353221893,ninja
208,208,1712128,4.940087930000001,4.74578585,0.021272510290145874,ninja
209,209,1720320,5.423214359999999,4.06820264,0.057548198848962784,ninja
210,210,1728512,4.355340330000001,4.16647416,0.15952380001544952,ninja
211,211,1736704,4.452969969999999,4.940305459999999,0.04801204055547714,ninja
212,212,1744896,3.87218365,4.842535750000001,0.04303213208913803,ninja
213,213,1753088,5.32129353,3.67952471,-0.0516960546374321,ninja
214,214,1761280,3.8703781299999998,4.842999440000001,0.03650598227977753,ninja
215,215,1769472,4.35480101,4.26214633,0.019737472757697105,ninja
216,216,1777664,4.549572449999999,4.26269227,-0.021091779693961143,ninja
217,217,1785856,4.06719118,4.361649949999999,-0.0686529129743576,ninja
218,218,1794048,4.5529160399999995,4.36228108,-0.05407291650772095,ninja
219,219,1802240,5.0390431,4.945463950000001,-0.12438221275806427,ninja
220,220,1810432,4.74869157,4.7547991199999995,-0.08413263410329819,ninja
221,221,1818624,4.65236317,3.9815290400000003,-0.10474428534507751,ninja
222,222,1826816,4.9457189900000005,4.3722124,-0.09435749799013138,ninja
223,223,1835008,5.23778294,4.27670131,0.09706995636224747,ninja
224,224,1843200,5.24033329,4.37522364,0.11782024800777435,ninja
225,225,1851392,5.630931049999999,3.7934459300000003,0.11205536127090454,ninja
226,226,1859584,4.46855023,4.089048,-0.07729978859424591,ninja
227,227,1867776,4.08091365,4.58041259,0.09987674653530121,ninja
228,228,1875968,5.151343430000001,3.9984624,-0.026158705353736877,ninja
229,229,1884160,5.05689665,4.9769600700000005,0.09804435819387436,ninja
230,230,1892352,4.9617471,4.68796708,-0.01456763967871666,ninja
231,231,1900544,3.89386768,3.6154592900000004,0.05762415751814842,ninja
232,232,1908736,4.67794967,3.42263664,0.14804664254188538,ninja
233,233,1916928,4.484514320000001,5.08597389,0.1004163920879364,ninja
234,234,1925120,4.68110094,4.10840446,-0.015035944059491158,ninja
235,235,1933312,4.29271104,3.6204453599999997,0.04565061628818512,ninja
236,236,1941504,4.68550841,5.285788590000001,0.0509493350982666,ninja
237,237,1949696,4.97792678,4.59995925,0.1732967644929886,ninja
238,238,1957888,5.272217810000001,5.5777044799999995,-0.015221357345581055,ninja
239,239,1966080,4.78311803,4.89360674,-0.03447342291474342,ninja
240,240,1974272,5.3694856600000005,4.11155572,0.06320693343877792,ninja
241,241,1982464,4.78415759,4.5051285,0.085355244576931,ninja
242,242,1990656,4.5906717100000005,4.50647865,-0.07527603209018707,ninja
243,243,1998848,4.98176861,4.702062959999999,-0.07117703557014465,ninja
244,244,2007040,4.29787661,4.213469290000001,-0.10594864934682846,ninja
245,245,2015232,4.49523168,4.1167558,0.040706414729356766,ninja
246,246,2023424,4.88744995,5.09556625,-0.0030780520755797625,ninja
247,247,2031616,4.69244887,4.11427596,-0.11222511529922485,ninja
248,248,2039808,4.88875888,4.99591384,-0.028294404968619347,ninja
249,249,2048000,4.303565069999999,4.898409449999999,0.02460969239473343,ninja
250,250,2056192,4.7946216,4.509114299999999,0.032594118267297745,ninja
251,251,2064384,5.08860388,4.413570470000001,-0.039060261100530624,ninja
252,252,2072576,6.262996039999999,4.807326089999999,-0.05126814544200897,ninja
253,253,2080768,5.285060570000001,4.61285408,-0.11352816969156265,ninja
254,254,2088960,4.698636919999999,5.8887110300000005,-0.016871491447091103,ninja
255,255,2097152,5.38410092,4.71332831,-0.034177787601947784,ninja
256,256,2105344,5.28532726,4.22374195,-0.1281844526529312,ninja
257,257,2113536,4.99129018,4.324106029999999,-0.11994648724794388,ninja
258,258,2121728,3.9148715399999996,4.22651385,-0.047371912747621536,ninja
259,259,2129920,5.6763901400000005,4.12861338,-0.019215678796172142,ninja
260,260,2138112,5.48015718,5.308784780000001,-0.19077427685260773,ninja
261,261,2146304,4.892514600000001,5.11292937,-0.09342160075902939,ninja
262,262,2154496,5.284339159999999,4.03202518,-0.029544532299041748,ninja
