,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,2.9411764705882355,3.5714285714285716,0.8352843523025513,ninja
1,1,16384,2.857142857142857,3.0303030303030303,1.0,ninja
2,2,24576,2.7941176470588234,2.7777777777777777,1.0,ninja
3,3,32768,2.5,2.4096385542168677,1.0,ninja
4,4,40960,3.0,2.9,1.0,ninja
5,5,49152,2.9,3.3,1.0,ninja
6,6,57344,2.7,2.7,1.0,ninja
7,7,65536,3.6,2.7,1.0,ninja
8,8,73728,3.7,3.1,1.0,ninja
9,9,81920,4.1,3.8,1.0,ninja
10,10,90112,3.6,3.5,1.0,ninja
11,11,98304,2.6,3.9,1.0,ninja
12,12,106496,3.3,3.4,1.0,ninja
13,13,114688,4.2,3.8,1.0,ninja
14,14,122880,3.3,4.4,1.0,ninja
15,15,131072,4.8,4.3,1.0,ninja
16,16,139264,3.7,4.3,1.0,ninja
17,17,147456,4.1,2.9,1.0,ninja
18,18,155648,4.6,3.6,1.0,ninja
19,19,163840,3.9,4.4,1.0,ninja
20,20,172032,3.7,4.6,1.0,ninja
21,21,180224,3.2,4.5,1.0,ninja
22,22,188416,3.6,3.9,1.0,ninja
23,23,196608,3.7,4.8,1.0,ninja
24,24,204800,3.3,3.7,1.0,ninja
25,25,212992,4.3,3.7,1.0,ninja
26,26,221184,4.4,4.3,1.0,ninja
27,27,229376,4.1,5.1,1.0,ninja
28,28,237568,3.3,3.8,1.0,ninja
29,29,245760,4.3,3.8,1.0,ninja
30,30,253952,4.8,3.6,1.0,ninja
31,31,262144,3.9,3.4,1.0,ninja
32,32,270336,4.1,4.1,1.0,ninja
33,33,278528,4.5,4.6,1.0,ninja
34,34,286720,3.4,4.2,1.0,ninja
35,35,294912,3.8,4.7,1.0,ninja
36,36,303104,4.2,3.9,1.0,ninja
37,37,311296,4.2,3.5,1.0,ninja
38,38,319488,4.3,3.3,1.0,ninja
39,39,327680,4.8,4.3,1.0,ninja
40,40,335872,4.3,4.4,1.0,ninja
41,41,344064,3.9,4.1,1.0,ninja
42,42,352256,4.1,5.0,1.0,ninja
43,43,360448,4.2,5.1,1.0,ninja
44,44,368640,3.8,4.2,1.0,ninja
45,45,376832,4.4,4.0,1.0,ninja
46,46,385024,4.4,4.4,1.0,ninja
47,47,393216,4.3,5.6,1.0,ninja
48,48,401408,4.7,3.7,1.0,ninja
49,49,409600,4.7,4.0,1.0,ninja
50,50,417792,4.4,4.2,1.0,ninja
51,51,425984,4.8,4.7,1.0,ninja
52,52,434176,4.3,4.5,1.0,ninja
53,53,442368,4.5,3.9,1.0,ninja
54,54,450560,4.6,4.7,1.0,ninja
55,55,458752,4.3,3.5,1.0,ninja
56,56,466944,4.8,4.5,1.0,ninja
57,57,475136,3.9,4.2,1.0,ninja
58,58,483328,5.6,5.3,1.0,ninja
59,59,491520,4.6,4.4,1.0,ninja
60,60,499712,4.2,4.2,1.0,ninja
61,61,507904,4.3,4.3,1.0,ninja
62,62,516096,3.8,4.3,1.0,ninja
63,63,524288,4.2,4.5,1.0,ninja
64,64,532480,4.2,4.4,1.0,ninja
65,65,540672,3.8,3.8,1.0,ninja
66,66,548864,4.4,4.6,1.0,ninja
67,67,557056,3.2,4.3,1.0,ninja
68,68,565248,4.1,3.6,1.0,ninja
69,69,573440,4.5,3.0,1.0,ninja
70,70,581632,3.6,4.5,1.0,ninja
71,71,589824,4.8,4.7,1.0,ninja
72,72,598016,4.0,5.4,1.0,ninja
73,73,606208,4.1,4.1,1.0,ninja
74,74,614400,3.7,4.3,1.0,ninja
75,75,622592,4.5,3.0,1.0,ninja
