,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,1.5384615384615385,3.5714285714285716,-0.042632848024368286,ninja
1,1,16384,3.1578947368421053,2.5714285714285716,-0.05259083956480026,ninja
2,2,24576,2.7419354838709675,2.549019607843137,-0.0498150996863842,ninja
3,3,32768,3.0588235294117645,2.4050632911392404,-0.029041346162557602,ninja
4,4,40960,3.4,2.3,-0.06077023223042488,ninja
5,5,49152,3.1,2.2,-0.04634403437376022,ninja
6,6,57344,3.0,2.2,-0.051784761250019073,ninja
7,7,65536,3.3,3.1,-0.04509633406996727,ninja
8,8,73728,4.3,3.9,-0.053191203624010086,ninja
9,9,81920,3.0,3.3,-0.041756123304367065,ninja
10,10,90112,2.4,3.4,-0.05226627364754677,ninja
11,11,98304,4.0,2.8,-0.03402760624885559,ninja
12,12,106496,4.2,3.6,-0.04970868304371834,ninja
13,13,114688,3.7,3.4,-0.07072800397872925,ninja
14,14,122880,3.1,3.8,-0.029555268585681915,ninja
15,15,131072,4.3,4.1,-0.018902823328971863,ninja
16,16,139264,3.9,4.0,0.03328246623277664,ninja
17,17,147456,4.0,4.1,0.03165769577026367,ninja
18,18,155648,3.4,4.0,0.046712588518857956,ninja
19,19,163840,4.5,3.9,0.0540178045630455,ninja
20,20,172032,3.8,3.2,0.021987948566675186,ninja
21,21,180224,3.9,3.6,0.04891420155763626,ninja
22,22,188416,4.3,4.4,-0.02651679888367653,ninja
23,23,196608,4.7,4.6,-0.06729748845100403,ninja
24,24,204800,4.9,3.5,-0.018458671867847443,ninja
25,25,212992,3.7,4.6,0.00939407479017973,ninja
26,26,221184,4.3,5.0,0.02918965555727482,ninja
27,27,229376,3.9,3.4,0.006035589147359133,ninja
28,28,237568,3.8,4.6,-0.02211601845920086,ninja
29,29,245760,3.8,4.5,0.001414532191120088,ninja
30,30,253952,3.5,3.6,0.022401221096515656,ninja
31,31,262144,4.1,3.8,0.03706158697605133,ninja
32,32,270336,3.8,4.1,0.0009948251536116004,ninja
33,33,278528,4.1,5.1,0.02517913281917572,ninja
34,34,286720,3.7,4.0,0.0006013722158968449,ninja
35,35,294912,3.9,4.5,-0.010209917090833187,ninja
36,36,303104,4.0,3.7,-0.042223114520311356,ninja
37,37,311296,4.0,4.0,0.027023132890462875,ninja
38,38,319488,4.1,5.3,0.03805892914533615,ninja
39,39,327680,4.1,4.5,0.0029241025913506746,ninja
40,40,335872,4.6,4.5,0.010388954542577267,ninja
41,41,344064,4.7,3.9,-0.011688627302646637,ninja
42,42,352256,4.2,3.1,-0.002629393944516778,ninja
43,43,360448,4.7,4.1,-0.002573828911408782,ninja
44,44,368640,4.4,4.2,-0.015038720332086086,ninja
45,45,376832,4.1,4.5,-0.007546463515609503,ninja
46,46,385024,4.8,4.3,0.015429586172103882,ninja
47,47,393216,3.0,4.6,-0.0029762268532067537,ninja
48,48,401408,4.2,5.0,0.00969260185956955,ninja
49,49,409600,4.2,4.3,-0.003367883851751685,ninja
50,50,417792,4.1,3.6,0.00995497778058052,ninja
51,51,425984,3.8,4.5,-0.0017950815381482244,ninja
52,52,434176,4.6,4.4,0.029856190085411072,ninja
53,53,442368,4.5,3.8,-0.011555055156350136,ninja
54,54,450560,4.4,4.0,-0.01862247847020626,ninja
55,55,458752,4.6,4.7,0.013122771866619587,ninja
56,56,466944,4.5,5.2,0.011816469952464104,ninja
57,57,475136,3.5,4.2,0.01702018640935421,ninja
58,58,483328,4.2,4.6,0.031092092394828796,ninja
59,59,491520,4.1,3.7,0.010832421481609344,ninja
60,60,499712,3.8,4.4,0.013501906767487526,ninja
61,61,507904,4.4,5.6,0.015670590102672577,ninja
62,62,516096,4.2,4.5,0.001665250165387988,ninja
63,63,524288,4.1,3.8,0.04315861314535141,ninja
64,64,532480,4.2,4.3,0.046196721494197845,ninja
65,65,540672,4.2,3.5,0.02659369632601738,ninja
66,66,548864,3.9,4.9,0.03405240550637245,ninja
67,67,557056,4.3,4.3,0.03264988213777542,ninja
68,68,565248,4.8,4.3,0.020034901797771454,ninja
69,69,573440,4.5,3.7,0.026067430153489113,ninja
70,70,581632,4.3,4.2,0.016503123566508293,ninja
71,71,589824,4.9,4.7,0.02445307932794094,ninja
72,72,598016,5.1,4.4,0.020712442696094513,ninja
73,73,606208,3.9,4.7,0.02481922321021557,ninja
74,74,614400,5.0,4.1,0.050857990980148315,ninja
75,75,622592,4.1,4.5,0.059310492128133774,ninja
76,76,630784,4.2,4.6,0.0319364070892334,ninja
77,77,638976,4.5,4.7,0.018792912364006042,ninja
78,78,647168,4.6,4.2,0.020797831937670708,ninja
79,79,655360,4.9,4.7,0.03703181818127632,ninja
80,80,663552,5.0,4.7,0.010530801489949226,ninja
81,81,671744,4.59629171,4.3,0.03301960229873657,ninja
82,82,679936,4.29377121,5.0,0.03937399387359619,ninja
83,83,688128,4.189532069999999,3.7,0.04218543320894241,ninja
84,84,696320,3.88472886,5.8,0.03751595690846443,ninja
85,85,704512,4.17776199,4.5,0.04633422568440437,ninja
86,86,712704,3.9737472,4.0,0.031063834205269814,ninja
87,87,720896,4.66570485,5.7,0.020914321765303612,ninja
88,88,729088,3.67018458,4.7,0.047012101858854294,ninja
