,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,2.7649332,5.787146,-0.16431331634521484,plunder
1,1,16384,7.86376237037037,6.4752299666666655,0.019104277715086937,plunder
2,2,24576,7.727370958333334,5.937131107142856,-0.006186391226947308,plunder
3,3,32768,6.958846426470588,6.038666618421054,0.5834522843360901,plunder
4,4,40960,6.462404739130436,5.87547505050505,-0.09813740849494934,plunder
5,5,49152,6.2528175599999996,5.810719690000001,0.11091337352991104,plunder
6,6,57344,5.07431601,5.32087479,0.13369503617286682,plunder
7,7,65536,5.04984901,5.70023395,0.43018680810928345,plunder
8,8,73728,5.15684216,5.481011379999997,0.6384944319725037,plunder
9,9,81920,5.13111946,5.13772009,0.6088755130767822,plunder
10,10,90112,4.90587458,5.0352017899999995,0.4074487090110779,plunder
11,11,98304,4.98188222,4.48065845,0.2797468602657318,plunder
12,12,106496,4.16446501,4.62292714,0.7343975305557251,plunder
13,13,114688,4.27972707,4.64515986,-0.09862551093101501,plunder
14,14,122880,4.2748506200000005,4.63272998,-0.06531072407960892,plunder
15,15,131072,4.69498926,4.502143139999999,0.024724463000893593,plunder
16,16,139264,4.909047130000001,4.54199559,0.03214641660451889,plunder
17,17,147456,4.93620702,4.50202991,-0.11415465921163559,plunder
18,18,155648,4.8148279800000005,4.15924806,0.15714578330516815,plunder
19,19,163840,4.52937777,4.37282083,1.0,plunder
20,20,172032,4.42374901,4.239800799999999,1.0,plunder
21,21,180224,4.195587010000001,4.03317011,1.0,plunder
22,22,188416,4.356350089999999,4.2190460000000005,1.0,plunder
23,23,196608,4.38696053,4.2229252100000005,1.0,plunder
24,24,204800,4.78295722,4.37735724,1.0,plunder
25,25,212992,4.822967080000001,4.66226161,1.0,plunder
26,26,221184,4.83291568,4.60281452,1.0,plunder
27,27,229376,4.50637182,4.75768118,1.0,plunder
28,28,237568,4.3878189899999995,4.71264928,1.0,plunder
29,29,245760,4.42164905,4.415427859999999,1.0,plunder
30,30,253952,4.478066290000001,4.185134819999999,1.0,plunder
31,31,262144,4.539541870000001,4.33954208,1.0,plunder
32,32,270336,4.65826107,4.26469377,1.0,plunder
33,33,278528,4.840331770000001,4.2137939300000005,1.0,plunder
34,34,286720,4.70892789,4.49649335,1.0,plunder
35,35,294912,4.508016540000001,4.8066292399999995,1.0,plunder
36,36,303104,4.5794530700000005,4.63294787,1.0,plunder
37,37,311296,4.46286441,4.761018180000001,1.0,plunder
38,38,319488,4.012893190000001,4.8706154,1.0,plunder
39,39,327680,4.2634352,4.773746989999999,1.0,plunder
40,40,335872,4.15034853,4.779652789999999,1.0,plunder
41,41,344064,4.00659665,4.7530288700000005,1.0,plunder
42,42,352256,3.78506945,4.464336090000001,1.0,plunder
43,43,360448,3.7790887,4.52011492,1.0,plunder
44,44,368640,3.7603595500000004,4.14864056,1.0,plunder
45,45,376832,3.92904166,3.95765676,1.0,plunder
46,46,385024,4.12447016,3.7207468599999998,1.0,plunder
47,47,393216,4.06208597,3.79424607,1.0,plunder
48,48,401408,4.408338779999999,3.9095725299999997,1.0,plunder
49,49,409600,4.36713953,4.22289041,1.0,plunder
50,50,417792,4.2869135599999995,4.456989940000001,1.0,plunder
51,51,425984,4.36235214,4.594627139999999,1.0,plunder
52,52,434176,4.3303705400000005,5.08352767,1.0,plunder
53,53,442368,4.50732964,4.6704302,1.0,plunder
54,54,450560,4.472608730000001,4.8692453,1.0,plunder
55,55,458752,4.62912305,4.797709820000001,1.0,plunder
56,56,466944,5.285619050000001,4.63828811,1.0,plunder
57,57,475136,5.32261823,4.7205940900000005,1.0,plunder
58,58,483328,4.96891372,4.9130030399999995,1.0,plunder
59,59,491520,4.95289648,4.64760293,1.0,plunder
60,60,499712,4.60122642,4.78418384,1.0,plunder
61,61,507904,4.50985228,4.86902315,1.0,plunder
62,62,516096,4.486270800000001,4.788271630000001,1.0,plunder
63,63,524288,4.75298218,4.62176164,1.0,plunder
64,64,532480,5.02179533,4.78173005,1.0,plunder
65,65,540672,5.14894743,4.82016202,1.0,plunder
66,66,548864,4.881859649999999,4.72802408,1.0,plunder
67,67,557056,4.94212313,4.96200514,1.0,plunder
68,68,565248,5.36630884,5.219057390000001,1.0,plunder
69,69,573440,5.385584230000001,5.210055900000001,1.0,plunder
70,70,581632,5.3695608,5.344137819999999,1.0,plunder
71,71,589824,5.29684929,5.4464369900000005,1.0,plunder
72,72,598016,5.13572181,5.535268320000003,1.0,plunder
73,73,606208,4.864087520000001,5.392166369999999,1.0,plunder
74,74,614400,4.70452483,5.492793569999999,1.0,plunder
75,75,622592,4.54421032,5.108772330000001,1.0,plunder
76,76,630784,4.61638347,5.04612133,1.0,plunder
77,77,638976,4.557884479999999,4.66450097,1.0,plunder
78,78,647168,4.36509729,4.57362168,1.0,plunder
79,79,655360,4.32900935,4.55815131,1.0,plunder
80,80,663552,4.226523530000001,4.256552150000001,1.0,plunder
81,81,671744,4.2470279799999995,4.2199928,1.0,plunder
82,82,679936,4.144290499999999,4.29623579,1.0,plunder
83,83,688128,4.10518782,4.24907745,1.0,plunder
84,84,696320,4.13638617,4.100264300000001,1.0,plunder
85,85,704512,3.8710308400000004,4.018351310000001,1.0,plunder
86,86,712704,3.8782380500000007,4.025257150000001,1.0,plunder
87,87,720896,3.915992979999999,4.1892342099999995,1.0,plunder
88,88,729088,3.9398622700000003,4.11734857,1.0,plunder
89,89,737280,4.0683830400000005,3.8748213800000006,1.0,plunder
90,90,745472,4.01752368,4.14219514,1.0,plunder
91,91,753664,4.17411051,4.102558269999999,1.0,plunder
92,92,761856,4.35184768,3.9724577599999997,1.0,plunder
93,93,770048,4.053956019999999,3.59438276,1.0,plunder
94,94,778240,3.9789966800000003,3.5192199800000004,1.0,plunder
95,95,786432,3.5643208600000005,3.251903059999999,1.0,plunder
96,96,794624,3.3841221500000005,3.23557472,1.0,plunder
97,97,802816,3.40115451,2.94416715,1.0,plunder
