,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,3.63399975,2.4699895,-0.15021443367004395,plunder
1,1,16384,7.705926516129034,7.954655000000001,-0.1517648696899414,plunder
2,2,24576,6.710985816326531,6.963038450980392,0.02826726995408535,plunder
3,3,32768,6.689028774647887,6.533571743243244,0.508120596408844,plunder
4,4,40960,6.694040768421052,6.2200788000000005,0.7823547720909119,plunder
5,5,49152,6.4787444,6.128729779999999,0.8432254195213318,plunder
6,6,57344,5.91602041,5.449559050000001,0.9256591796875,plunder
7,7,65536,5.406008729999999,5.39442087,0.9317950010299683,plunder
8,8,73728,5.176140110000001,5.23821092,0.9177846908569336,plunder
9,9,81920,5.50644944,4.7715942799999995,0.9297695159912109,plunder
10,10,90112,5.613741000000001,4.5226137799999995,0.87879878282547,plunder
11,11,98304,5.499146870000001,4.5372581400000005,0.8371824026107788,plunder
12,12,106496,5.04627753,4.348112320000001,0.6999676823616028,plunder
13,13,114688,4.71756351,4.422618819999999,0.5909624099731445,plunder
14,14,122880,4.4065791800000005,4.078263219999999,0.4947032332420349,plunder
15,15,131072,4.5007133,4.05286421,0.6931441426277161,plunder
16,16,139264,4.35603433,4.30419559,0.7815178632736206,plunder
17,17,147456,4.3565084,4.489815699999999,0.7863692045211792,plunder
18,18,155648,4.78156986,4.588006169999999,0.7450448870658875,plunder
19,19,163840,4.53658141,4.84614513,0.5750865936279297,plunder
20,20,172032,4.46089105,4.7905857,0.5749421715736389,plunder
21,21,180224,4.656438519999999,4.80251915,0.9008193612098694,plunder
22,22,188416,4.46038997,4.76446667,0.9943813681602478,plunder
23,23,196608,4.53919348,4.66668557,0.9895290732383728,plunder
24,24,204800,4.54024249,4.71005882,0.9923850297927856,plunder
25,25,212992,4.41753709,4.58440386,0.9893511533737183,plunder
26,26,221184,4.59492689,4.449538,0.995519757270813,plunder
27,27,229376,4.81675131,4.494179259999999,0.9934564828872681,plunder
28,28,237568,4.92289941,4.55720778,0.9948176145553589,plunder
29,29,245760,4.684939089999999,4.33314721,0.9927592873573303,plunder
30,30,253952,5.13060441,4.30059276,0.9864373803138733,plunder
31,31,262144,4.9414963499999995,4.21831262,0.9947903752326965,plunder
32,32,270336,4.88974477,4.523701570000001,0.9871315360069275,plunder
33,33,278528,5.30657502,4.35881976,0.9885517954826355,plunder
