,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,1.3899887499999999,2.3052396,-0.1944214403629303,plunder
1,1,16384,7.1410615161290325,8.1791285625,0.9861011505126953,plunder
2,2,24576,6.704984456140351,7.635199200000001,-0.1900549978017807,plunder
3,3,32768,6.257399423076924,7.058954571428571,-0.10382983833551407,plunder
4,4,40960,6.199912520000001,6.527580134020619,0.9595584273338318,plunder
5,5,49152,6.278176399999999,5.86353681,1.0,plunder
6,6,57344,5.537865539999999,5.222858659999999,0.9577211141586304,plunder
7,7,65536,5.186592010000001,4.79859438,1.0,plunder
8,8,73728,5.06022709,4.94464983,1.0,plunder
9,9,81920,4.8792238,4.869596669999999,1.0,plunder
10,10,90112,4.86918952,4.4432842599999995,1.0,plunder
11,11,98304,4.81731961,3.93461424,1.0,plunder
12,12,106496,4.78191706,4.131112249999999,1.0,plunder
13,13,114688,4.36129341,4.097763189999999,1.0,plunder
14,14,122880,4.41339673,4.303477050000001,1.0,plunder
15,15,131072,4.22502549,4.41834488,1.0,plunder
16,16,139264,4.1012455999999995,4.12887489,1.0,plunder
17,17,147456,4.497773519999999,4.347821880000001,1.0,plunder
18,18,155648,4.22276372,4.09820783,1.0,plunder
19,19,163840,4.28106854,4.00440734,1.0,plunder
20,20,172032,4.05890992,4.298989700000001,1.0,plunder
21,21,180224,4.26457078,4.36919253,1.0,plunder
22,22,188416,4.12785912,4.11699778,1.0,plunder
23,23,196608,4.356181250000001,4.053348939999999,1.0,plunder
24,24,204800,4.55563923,4.07165343,1.0,plunder
25,25,212992,4.67166438,4.06157437,1.0,plunder
26,26,221184,4.78040442,4.6657837,1.0,plunder
27,27,229376,4.84960376,4.85980078,1.0,plunder
28,28,237568,5.150897279999999,5.14920818,1.0,plunder
29,29,245760,4.95269384,5.37834412,1.0,plunder
30,30,253952,4.733979710000001,5.0421087700000005,1.0,plunder
31,31,262144,4.912830490000001,5.15976136,1.0,plunder
32,32,270336,4.59177447,4.90764667,1.0,plunder
33,33,278528,4.54255387,4.66557686,1.0,plunder
34,34,286720,4.82016315,4.84957966,1.0,plunder
35,35,294912,4.786685589999999,4.70384024,1.0,plunder
36,36,303104,4.82587619,5.01037463,1.0,plunder
37,37,311296,5.00552288,4.865730610000001,1.0,plunder
38,38,319488,4.76560263,5.10209141,1.0,plunder
39,39,327680,4.605608739999999,4.923787710000001,1.0,plunder
40,40,335872,4.63135907,5.0300932000000005,1.0,plunder
41,41,344064,4.49810629,4.43498507,1.0,plunder
42,42,352256,4.205004740000001,4.0818499500000005,1.0,plunder
43,43,360448,4.25975438,3.7227168799999992,1.0,plunder
44,44,368640,3.99351424,3.65223239,1.0,plunder
45,45,376832,4.05584686,3.6442729199999997,1.0,plunder
46,46,385024,4.1291500800000005,4.071304510000001,1.0,plunder
47,47,393216,4.208132340000001,4.26737613,1.0,plunder
48,48,401408,4.56387851,4.71670151,1.0,plunder
49,49,409600,4.6546659,4.60946767,1.0,plunder
50,50,417792,4.462973509999999,4.4897525300000005,1.0,plunder
51,51,425984,4.38025221,4.11284927,1.0,plunder
52,52,434176,4.45706908,3.9796804,1.0,plunder
53,53,442368,4.49486729,3.82751706,1.0,plunder
54,54,450560,4.449009470000001,3.9261770500000006,1.0,plunder
55,55,458752,4.450458800000001,4.0623329,1.0,plunder
56,56,466944,4.58562166,4.305923460000001,1.0,plunder
57,57,475136,4.56302381,4.19643061,1.0,plunder
58,58,483328,4.48493731,4.45244971,1.0,plunder
59,59,491520,4.609761420000001,4.4439506699999995,1.0,plunder
60,60,499712,4.45631809,4.35113303,1.0,plunder
61,61,507904,4.3834247600000005,4.275404309999999,1.0,plunder
62,62,516096,4.15717148,4.2066927,1.0,plunder
63,63,524288,3.8032182200000006,4.30599561,1.0,plunder
64,64,532480,3.82654422,4.603627039999999,1.0,plunder
65,65,540672,3.8271184899999993,4.5926614599999995,1.0,plunder
66,66,548864,4.10298617,4.69192122,1.0,plunder
67,67,557056,4.03014092,4.4626469,1.0,plunder
68,68,565248,4.20311653,4.19584415,1.0,plunder
69,69,573440,4.2847607,3.7838042599999993,1.0,plunder
70,70,581632,4.22569208,3.73765705,1.0,plunder
71,71,589824,4.198795969999999,3.73534045,1.0,plunder
72,72,598016,4.1970655500000005,3.7325152000000004,1.0,plunder
73,73,606208,4.216501299999999,3.86693376,1.0,plunder
74,74,614400,4.29692472,3.81711471,1.0,plunder
75,75,622592,4.12845916,3.8044217700000007,1.0,plunder
76,76,630784,4.052693,3.64886215,1.0,plunder
77,77,638976,4.03593189,3.6118161399999997,1.0,plunder
78,78,647168,3.9157741600000007,3.6077536500000003,1.0,plunder
79,79,655360,3.9821473699999994,4.040161899999999,1.0,plunder
80,80,663552,4.055275889999999,4.083278170000001,1.0,plunder
81,81,671744,4.269858480000001,4.31940406,1.0,plunder
82,82,679936,4.57044591,4.504504450000001,1.0,plunder
83,83,688128,4.63980377,4.740878230000001,1.0,plunder
84,84,696320,4.73426718,4.832193710000001,1.0,plunder
85,85,704512,5.071457280000001,4.95857929,1.0,plunder
86,86,712704,4.88340122,5.200120770000001,1.0,plunder
87,87,720896,4.95151798,5.297697,1.0,plunder
88,88,729088,5.190653490000001,5.589375450000001,1.0,plunder
89,89,737280,5.3189012700000005,5.660693849999999,1.0,plunder
90,90,745472,5.432777300000001,5.63538078,1.0,plunder
91,91,753664,5.32459238,5.6214118299999996,1.0,plunder
92,92,761856,5.33745354,5.558863799999999,1.0,plunder
93,93,770048,5.2142579399999995,5.476207220000001,1.0,plunder
94,94,778240,4.99255858,5.59044245,1.0,plunder
95,95,786432,5.01663192,5.59711261,1.0,plunder
96,96,794624,5.29866454,5.40070499,1.0,plunder
97,97,802816,5.3712341200000004,5.51760802,1.0,plunder
98,98,811008,4.915034169999999,5.12394809,1.0,plunder
99,99,819200,5.4668265599999994,5.25425871,1.0,plunder
100,100,827392,5.414525240000001,5.633271150000001,1.0,plunder
101,101,835584,5.86147201,5.73753682,1.0,plunder
102,102,843776,6.002410279999999,5.733297459999999,1.0,plunder
103,103,851968,5.79990277,5.469196440000001,1.0,plunder
