,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,7.150713,3.518675,-0.11421103775501251,plunder
1,1,16384,7.138761888888888,7.86360171875,0.9277204275131226,plunder
2,2,24576,6.83765325925926,6.9177267321428575,0.9714570045471191,plunder
3,3,32768,6.4747082394366196,6.496687468354431,0.9659925103187561,plunder
4,4,40960,6.563291500000001,6.2885759000000006,0.9857161641120911,plunder
5,5,49152,6.095913720000002,6.193061660000001,0.9695245027542114,plunder
6,6,57344,5.835594480000001,5.42218916,0.9668753743171692,plunder
7,7,65536,5.398663959999999,5.437839599999998,0.900483250617981,plunder
8,8,73728,5.0593080200000005,5.666858010000001,0.7253715991973877,plunder
9,9,81920,4.584566379999999,5.68210307,0.9498200416564941,plunder
10,10,90112,5.0860704100000005,5.32700926,0.9680804014205933,plunder
11,11,98304,5.12659571,4.81463212,0.9739805459976196,plunder
12,12,106496,5.131567229999999,4.479479309999999,0.9818423986434937,plunder
13,13,114688,4.989155810000001,4.2868613799999995,0.975580632686615,plunder
14,14,122880,5.145072980000001,4.2196948,0.9812005758285522,plunder
15,15,131072,5.390050020000001,4.50781569,0.9768385291099548,plunder
16,16,139264,5.07871013,4.09574807,0.971320390701294,plunder
17,17,147456,4.7082925,4.388501100000001,0.9748348593711853,plunder
18,18,155648,4.5513851800000005,4.275317609999999,0.9796280860900879,plunder
19,19,163840,4.23398477,4.50609607,0.9826393127441406,plunder
20,20,172032,4.615136550000001,4.631818829999999,0.9752941131591797,plunder
21,21,180224,4.22242995,4.591601780000001,0.9704873561859131,plunder
22,22,188416,4.41855557,4.52694171,0.9820220470428467,plunder
23,23,196608,4.2651237900000005,4.664150490000001,0.9704616069793701,plunder
24,24,204800,4.06254223,4.60572041,0.9901549816131592,plunder
25,25,212992,4.55951513,4.77914978,0.9783655405044556,plunder
26,26,221184,4.524306429999999,4.74471471,0.9897161722183228,plunder
27,27,229376,4.28825084,4.8625899200000005,0.9784146547317505,plunder
28,28,237568,4.25340307,4.76063037,0.979150652885437,plunder
29,29,245760,4.05816878,4.77320331,0.9881992340087891,plunder
30,30,253952,4.24390797,4.6972504299999995,0.988646388053894,plunder
31,31,262144,4.81320703,4.76966068,0.9977213144302368,plunder
32,32,270336,4.83826703,4.53977497,0.9959125518798828,plunder
