,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,2.8120434999999997,5.7719656666666666,1,plunder
1,1,16384,7.858598187500001,7.989008827586207,1,plunder
2,2,24576,6.9618533461538465,7.532265000000001,1,plunder
3,3,32768,6.768511789473684,6.819541810810811,1,plunder
4,4,40960,6.679357697916667,6.433394111111111,1,plunder
5,5,49152,6.47655713,6.036592070000001,1,plunder
6,6,57344,5.7634460899999995,5.229714430000001,1,plunder
7,7,65536,5.547302670000001,5.536344829999999,1,plunder
8,8,73728,5.32936911,4.93328908,1,plunder
9,9,81920,4.72229329,4.87840257,1,plunder
10,10,90112,4.448194549999999,4.43139753,1,plunder
11,11,98304,4.22928589,4.30469301,1,plunder
12,12,106496,4.3234680700000006,4.34442448,1,plunder
13,13,114688,4.846665079999999,4.03516822,1,plunder
14,14,122880,4.97415274,3.762641,1,plunder
15,15,131072,4.497346749999999,3.937227939999999,1,plunder
16,16,139264,4.050660059999999,4.07202214,1,plunder
17,17,147456,3.96292026,4.44966454,1,plunder
18,18,155648,4.09697367,4.2595214200000004,1,plunder
19,19,163840,4.242101989999999,4.238746900000001,1,plunder
20,20,172032,4.5545768099999995,4.37777571,1,plunder
21,21,180224,4.32618339,4.56124812,1,plunder
22,22,188416,4.1050772,4.88583252,1,plunder
23,23,196608,4.31081044,4.561396660000001,1,plunder
24,24,204800,4.50350236,4.85834017,1,plunder
25,25,212992,4.51920492,4.82774743,1,plunder
26,26,221184,4.952192589999999,4.77382523,1,plunder
27,27,229376,4.46348765,4.9391262000000005,1,plunder
28,28,237568,4.30712325,4.62822006,1,plunder
29,29,245760,4.31121416,4.44757544,1,plunder
30,30,253952,4.28873933,4.47028278,1,plunder
31,31,262144,4.556747430000001,4.19758647,1,plunder
32,32,270336,4.418298620000001,4.12630833,1,plunder
33,33,278528,4.38874283,3.8724121300000003,1,plunder
34,34,286720,3.9239831799999996,3.5305083199999996,1,plunder
35,35,294912,3.81034779,3.430955200000001,1,plunder
36,36,303104,3.72032501,3.61774653,1,plunder
37,37,311296,3.94394844,3.7906624900000003,1,plunder
38,38,319488,4.14656266,4.14620552,1,plunder
39,39,327680,4.123941839999999,4.37114799,1,plunder
40,40,335872,4.09866022,4.331901670000001,1,plunder
41,41,344064,3.92190413,4.248663420000001,1,plunder
42,42,352256,3.90457228,4.357329140000001,1,plunder
