,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,1.0356023333333333,1.75140975,-0.0862017348408699,plunder
1,1,16384,7.614524777777778,7.922585633333333,-0.117461659014225,plunder
2,2,24576,7.130893333333334,6.843590094339621,-0.14611674845218658,plunder
3,3,32768,6.7094837567567565,6.2287352054794525,-0.14448730647563934,plunder
4,4,40960,6.628249578947368,6.032811556701031,-0.1556428223848343,plunder
5,5,49152,6.58718272,5.923398680000003,-0.16141051054000854,plunder
6,6,57344,6.31348473,5.76150346,-0.11361697316169739,plunder
7,7,65536,5.773370470000001,5.139312520000001,-0.0605652891099453,plunder
8,8,73728,5.65258626,5.185434259999999,0.000871590047609061,plunder
9,9,81920,5.232619519999999,4.79207872,0.03309796005487442,plunder
10,10,90112,4.8888935600000005,5.02476745,0.5294913649559021,plunder
11,11,98304,5.21532522,4.879329439999999,0.7234876155853271,plunder
12,12,106496,5.069889610000001,4.44416224,0.7728942036628723,plunder
13,13,114688,4.94457096,4.22467814,0.8225442171096802,plunder
14,14,122880,4.88073256,4.53136513,0.7938382029533386,plunder
15,15,131072,4.64457115,4.64806034,0.21057669818401337,plunder
16,16,139264,4.658712239999999,4.4932456400000005,0.8748166561126709,plunder
17,17,147456,4.770297739999999,4.24386863,0.8695144057273865,plunder
18,18,155648,4.1473758,4.31690808,0.8652787804603577,plunder
19,19,163840,3.80529526,4.146090630000001,0.9581748247146606,plunder
20,20,172032,3.503900000000001,3.82608785,0.9662014245986938,plunder
21,21,180224,3.74044789,3.21607312,0.9091451168060303,plunder
22,22,188416,4.0561494499999995,3.5512724700000002,0.9158919453620911,plunder
23,23,196608,3.71687279,3.9341143499999998,0.9407196044921875,plunder
24,24,204800,4.06112704,4.25351354,0.847654402256012,plunder
25,25,212992,3.9363123999999994,4.5993116700000005,0.9528619647026062,plunder
26,26,221184,4.29098448,4.47177405,0.9241699576377869,plunder
27,27,229376,4.1911834,4.89999448,0.948811411857605,plunder
28,28,237568,4.29533492,4.89502458,0.5838039517402649,plunder
29,29,245760,4.78811475,4.876956580000001,0.9384647011756897,plunder
30,30,253952,4.80235138,5.07144914,0.9366185069084167,plunder
31,31,262144,5.0058722200000005,4.85567265,0.6956721544265747,plunder
32,32,270336,4.79109127,4.5974555,0.9702260494232178,plunder
33,33,278528,4.44830318,4.68630235,0.9772037267684937,plunder
34,34,286720,4.4558693300000005,4.58330532,0.9529929757118225,plunder
35,35,294912,4.354562029999999,4.861764820000001,0.9509196281433105,plunder
36,36,303104,4.516189,4.82787421,0.9587394595146179,plunder
37,37,311296,4.418399859999999,4.56860408,0.9521302580833435,plunder
38,38,319488,4.5736329499999995,4.52287421,0.9225543737411499,plunder
39,39,327680,4.37426149,4.311682439999999,0.9489756226539612,plunder
40,40,335872,4.187088119999999,4.25339003,0.9314571619033813,plunder
41,41,344064,4.136374180000001,4.42029504,0.9485926628112793,plunder
42,42,352256,4.34998022,4.261699159999999,0.8966353535652161,plunder
43,43,360448,4.0356364099999995,4.21741079,0.9500673413276672,plunder
44,44,368640,4.00040603,4.20981728,0.9119136333465576,plunder
45,45,376832,4.06330288,4.1501415,0.954216480255127,plunder
46,46,385024,4.1723122,3.8652200999999997,0.927227795124054,plunder
47,47,393216,4.309041379999999,4.063476570000001,0.8959670066833496,plunder
48,48,401408,4.23314495,4.034105009999999,0.9709151387214661,plunder
49,49,409600,4.07726654,4.2644684,0.958122193813324,plunder
50,50,417792,4.179744960000001,3.9495531900000005,0.9538459777832031,plunder
51,51,425984,4.185068290000001,4.0487056599999995,0.9277668595314026,plunder
52,52,434176,4.12617861,3.84091318,0.9656180739402771,plunder
53,53,442368,4.153134409999999,3.96378983,0.9671493172645569,plunder
54,54,450560,4.499032960000001,4.00197213,0.9699482917785645,plunder
55,55,458752,4.69423161,3.9970104199999996,0.9808224439620972,plunder
56,56,466944,4.6763569,4.3787238,0.9861491918563843,plunder
57,57,475136,4.64801462,4.56326823,0.9581183791160583,plunder
58,58,483328,4.5545257800000005,4.431308860000001,0.9718529582023621,plunder
