,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,1.16666675,3.206194333333333,0.2488337606191635,plunder
1,1,16384,8.418157172413792,7.7632664827586195,0.0356689877808094,plunder
2,2,24576,7.859467083333333,6.806794403846154,-0.18627271056175232,plunder
3,3,32768,7.0478981617647065,6.395881373333334,0.0025514476001262665,plunder
4,4,40960,6.823317516483518,5.9720714536082475,-0.14305664598941803,plunder
5,5,49152,6.601803090000001,5.901341649999999,-0.1149386316537857,plunder
6,6,57344,5.652964619999999,5.22546725,0.051006026566028595,plunder
7,7,65536,5.54840259,5.04160029,0.1920270025730133,plunder
8,8,73728,5.09706325,5.29554006,-0.1078658178448677,plunder
9,9,81920,4.52713976,5.21502247,0.32135891914367676,plunder
10,10,90112,4.33628916,4.92427094,0.451259970664978,plunder
11,11,98304,4.21963441,4.41373197,0.6841093301773071,plunder
12,12,106496,4.63416786,4.08285655,0.9404985904693604,plunder
13,13,114688,4.728316209999999,4.36848124,1.0,plunder
14,14,122880,4.68729308,4.8666513600000005,1.0,plunder
15,15,131072,4.590658250000001,4.9291472,1.0,plunder
16,16,139264,4.48695585,4.631765349999999,0.9999626874923706,plunder
17,17,147456,4.42019424,4.53058967,0.999989926815033,plunder
18,18,155648,4.94368307,4.67275261,0.9999914169311523,plunder
19,19,163840,4.69011994,4.70777077,0.9999991655349731,plunder
20,20,172032,5.25346358,4.7854473,0.9999892711639404,plunder
21,21,180224,5.0922367500000005,4.736491620000001,0.9999886751174927,plunder
22,22,188416,5.2682658,4.247167559999999,0.9999871253967285,plunder
23,23,196608,4.81790118,4.06050659,0.9999898672103882,plunder
24,24,204800,4.81705354,3.6715266499999997,0.9999948740005493,plunder
25,25,212992,4.620849369999999,3.68380441,0.9999932050704956,plunder
26,26,221184,4.39714763,3.798730030000001,0.9999924898147583,plunder
27,27,229376,4.4196892000000005,4.134743769999999,0.9999905824661255,plunder
28,28,237568,4.73832436,4.3006363,0.9999931454658508,plunder
29,29,245760,4.84327502,4.06731723,0.9999189376831055,plunder
30,30,253952,5.02866797,4.12707843,0.9999600052833557,plunder
31,31,262144,5.149428759999999,4.409153260000001,0.9999914765357971,plunder
32,32,270336,4.905376530000001,4.44455945,1.0,plunder
33,33,278528,4.52663288,4.79454809,1.0,plunder
34,34,286720,4.6074796,5.09051777,0.9999568462371826,plunder
35,35,294912,4.165901729999999,5.02697613,0.9999822378158569,plunder
36,36,303104,4.15591636,4.7310903,1.0,plunder
37,37,311296,3.99507633,4.976203440000001,1.0,plunder
38,38,319488,4.18153139,4.63038748,0.999988317489624,plunder
39,39,327680,4.21579894,4.41069822,0.999976634979248,plunder
40,40,335872,4.607465909999999,4.369924220000001,0.9999644756317139,plunder
41,41,344064,4.9114137399999995,4.55427664,0.9999619126319885,plunder
42,42,352256,4.95600709,4.5964465699999995,1.0,plunder
43,43,360448,4.94332102,4.783089040000001,0.9999868273735046,plunder
44,44,368640,4.776988029999999,5.0061189299999995,0.9999942779541016,plunder
45,45,376832,4.63985897,5.04980266,0.9999935626983643,plunder
46,46,385024,4.56637663,4.96062167,0.9999882578849792,plunder
47,47,393216,4.39109093,4.854550850000001,0.9999843835830688,plunder
48,48,401408,4.369458239999999,4.509220920000001,0.9999917149543762,plunder
49,49,409600,4.50559078,4.300373929999999,0.999995231628418,plunder
50,50,417792,4.4191552100000004,3.922346800000001,0.9999952912330627,plunder
51,51,425984,4.15167189,4.28357767,0.9999953508377075,plunder
52,52,434176,4.19613011,4.5065900899999995,0.9999951124191284,plunder
53,53,442368,4.44126912,4.47552105,0.9999943375587463,plunder
54,54,450560,4.172512360000001,4.697509129999999,0.9999960660934448,plunder
55,55,458752,4.26593714,4.654353869999999,0.9999961853027344,plunder
56,56,466944,4.649526949999999,4.30179425,0.9999953508377075,plunder
57,57,475136,4.1155473,4.05949709,0.9999942183494568,plunder
58,58,483328,3.7925706899999994,3.9388120200000003,0.9999943971633911,plunder
59,59,491520,3.8656523199999997,3.90373866,0.9999934434890747,plunder
60,60,499712,3.72012295,4.07857942,0.9999942779541016,plunder
61,61,507904,3.6811893599999994,4.4110037900000005,0.9999967813491821,plunder
62,62,516096,3.589041119999999,4.56315564,0.999995231628418,plunder
63,63,524288,4.026600780000001,4.41883331,0.9999943375587463,plunder
64,64,532480,3.9719719499999995,4.72154556,0.9999943971633911,plunder
65,65,540672,4.146921880000001,4.64105439,0.9999959468841553,plunder
66,66,548864,4.430387400000002,4.75607192,0.9999940991401672,plunder
67,67,557056,4.35428403,4.66305409,0.999995231628418,plunder
68,68,565248,3.9371369599999997,4.880864880000001,0.9999964237213135,plunder
69,69,573440,4.10139063,4.68921126,0.9999962449073792,plunder
70,70,581632,4.05853572,4.653142839999999,0.9999961256980896,plunder
71,71,589824,4.15524756,4.687237639999999,0.9999953508377075,plunder
72,72,598016,4.275898,4.59682214,0.9999954700469971,plunder
73,73,606208,4.48384787,4.4329031400000005,0.9999959468841553,plunder
74,74,614400,4.8835168499999995,4.6102909599999995,0.9999993443489075,plunder
75,75,622592,5.01478597,4.78919131,0.9999943375587463,plunder
76,76,630784,4.94453589,4.57890009,0.9999926090240479,plunder
77,77,638976,5.200582959999999,4.63038062,0.999995231628418,plunder
78,78,647168,5.18556856,4.910558460000001,0.9999964237213135,plunder
79,79,655360,4.720325079999999,4.62638454,0.9999969005584717,plunder
80,80,663552,4.4549106,4.688016480000001,0.9999964237213135,plunder
81,81,671744,4.40446885,4.610139319999999,0.9999962449073792,plunder
82,82,679936,4.3078549200000005,4.8805385,0.9999963045120239,plunder
83,83,688128,4.75214592,4.94078162,0.9999969601631165,plunder
84,84,696320,4.85665808,5.03625312,0.9999964237213135,plunder
85,85,704512,5.00582848,5.10825102,0.9999964237213135,plunder
86,86,712704,5.1002689199999995,5.075810530000001,0.999996542930603,plunder
87,87,720896,4.83318575,4.98579189,0.9999968409538269,plunder
88,88,729088,4.89438268,4.9665192000000005,0.9999954700469971,plunder
89,89,737280,4.88558713,4.66871772,0.9999970197677612,plunder
90,90,745472,4.7300107,4.53517965,0.9999967813491821,plunder
91,91,753664,4.34517806,4.57290247,0.9999961853027344,plunder
92,92,761856,4.47370927,4.471205299999999,0.9999963641166687,plunder
93,93,770048,4.37545806,4.63791687,0.9999973177909851,plunder
94,94,778240,4.43607488,4.6298641,0.9999972581863403,plunder
95,95,786432,4.52105286,4.634953540000001,0.9999959468841553,plunder
96,96,794624,4.62884061,4.5358154100000005,0.9999954700469971,plunder
97,97,802816,4.53021546,4.553251909999999,0.9999970197677612,plunder
98,98,811008,4.595062029999999,4.888987670000001,0.9999971389770508,plunder
99,99,819200,4.84073812,5.08040745,0.9999972581863403,plunder
100,100,827392,5.03200068,5.11935373,0.9999978542327881,plunder
101,101,835584,5.11929731,5.156438740000001,0.9999971985816956,plunder
102,102,843776,5.48171174,5.00518539,0.9999952912330627,plunder
103,103,851968,5.439538040000001,4.736653700000001,0.9999948740005493,plunder
104,104,860160,5.4699691900000005,4.8090357,0.9999951720237732,plunder
105,105,868352,5.10627793,4.72070565,0.9999954700469971,plunder
106,106,876544,5.15778872,5.1236453399999995,0.999993085861206,plunder
107,107,884736,5.22174402,5.21925891,0.999992311000824,plunder
108,108,892928,5.07434629,5.5372552,0.9999953508377075,plunder
109,109,901120,5.09837038,5.053826999999999,0.9999953508377075,plunder
110,110,909312,5.1324380000000005,5.5450755,0.9999959468841553,plunder
111,111,917504,5.32559424,5.564711020000001,0.9999953508377075,plunder
112,112,925696,4.92865137,5.22009942,0.9999948740005493,plunder
113,113,933888,5.2854687999999985,5.240026289999999,0.9999932050704956,plunder
114,114,942080,5.272372620000001,5.272643949999999,0.9999931454658508,plunder
115,115,950272,5.097701280000001,4.88389278,0.9999953508377075,plunder
116,116,958464,5.06276096,4.7781682,0.9999969005584717,plunder
117,117,966656,4.53077275,4.930798890000001,0.9999970197677612,plunder
118,118,974848,4.46257158,4.95409755,0.9999964237213135,plunder
119,119,983040,4.34972853,5.26924917,0.9999971985816956,plunder
120,120,991232,4.44598298,5.443454689999999,0.9999971985816956,plunder
121,121,999424,4.888214359999999,5.359590320000001,0.9999964237213135,plunder
122,122,1007616,5.05258245,5.475111450000001,0.9999978542327881,plunder
123,123,1015808,4.891408670000001,5.70680821,0.9999978542327881,plunder
124,124,1024000,5.01987524,5.739246310000001,0.9999969601631165,plunder
125,125,1032192,4.708272030000001,5.491567249999999,0.9999977350234985,plunder
126,126,1040384,4.72202301,5.466632549999999,0.9999978542327881,plunder
127,127,1048576,4.60988296,5.559067280000002,0.9999969601631165,plunder
128,128,1056768,4.54360961,5.419451159999999,0.999997079372406,plunder
129,129,1064960,4.47872954,5.1057937099999995,0.9999971389770508,plunder
130,130,1073152,4.366440109999999,4.9102634,0.9999970197677612,plunder
131,131,1081344,4.28981292,4.89036443,0.9999971389770508,plunder
132,132,1089536,4.31853785,4.380013119999999,0.9999978542327881,plunder
133,133,1097728,4.88380837,4.5014192600000005,0.9999978542327881,plunder
134,134,1105920,5.15657151,4.58716201,0.9999971389770508,plunder
135,135,1114112,5.311436050000001,4.542943310000001,0.999997079372406,plunder
136,136,1122304,5.39795691,4.640445410000001,0.9999964237213135,plunder
137,137,1130496,5.049178830000001,4.96027378,0.9999963045120239,plunder
138,138,1138688,4.90194366,4.858746180000001,0.9999969005584717,plunder
139,139,1146880,4.753895099999999,4.865121660000001,0.999997079372406,plunder
140,140,1155072,4.676234279999999,4.9391519399999995,0.9999970197677612,plunder
141,141,1163264,4.58507145,4.88648256,0.9999971389770508,plunder
142,142,1171456,4.763695889999999,4.8917882100000005,0.999997079372406,plunder
143,143,1179648,4.6136075,4.95318119,0.9999961256980896,plunder
144,144,1187840,4.862857440000002,5.168223909999999,0.9999961853027344,plunder
145,145,1196032,5.19518328,5.241123309999999,0.9999960660934448,plunder
146,146,1204224,5.31453388,5.04134173,0.9999969005584717,plunder
147,147,1212416,5.645881219999999,5.09067312,0.9999963045120239,plunder
148,148,1220608,5.59968148,5.128405229999999,0.999997079372406,plunder
149,149,1228800,5.518605150000001,4.893537049999999,0.9999969005584717,plunder
150,150,1236992,5.118378660000001,4.918389370000001,0.9999961256980896,plunder
151,151,1245184,5.2846356299999995,5.09640293,0.9999964237213135,plunder
152,152,1253376,4.89629359,4.835843710000001,0.9999979734420776,plunder
153,153,1261568,5.21531387,4.92026506,0.9999963045120239,plunder
154,154,1269760,5.1450659,4.7442635200000005,0.9999962449073792,plunder
155,155,1277952,5.03925453,4.734543940000001,0.9999971389770508,plunder
156,156,1286144,5.17473599,4.97442792,0.9999969005584717,plunder
157,157,1294336,5.38736963,5.1896524699999995,0.9999979734420776,plunder
158,158,1302528,5.3293262100000005,5.2742407500000015,0.9999979734420776,plunder
159,159,1310720,4.881263499999999,4.894396690000001,0.9999971985816956,plunder
160,160,1318912,5.236603819999999,4.95443934,0.9999979734420776,plunder
161,161,1327104,4.783438540000001,4.92036156,0.9999980926513672,plunder
162,162,1335296,4.86735331,4.980834110000001,0.9999971389770508,plunder
163,163,1343488,4.502164280000001,4.87583638,0.9999971389770508,plunder
164,164,1351680,4.69260919,4.723132980000001,0.9999971985816956,plunder
165,165,1359872,4.32852291,4.8682070600000005,0.9999971985816956,plunder
166,166,1368064,4.30648904,4.39487824,0.9999972581863403,plunder
167,167,1376256,4.19149386,4.37388756,0.9999972581863403,plunder
168,168,1384448,4.194322410000001,4.50662505,0.9999973773956299,plunder
169,169,1392640,4.24443317,4.259945330000001,0.9999974370002747,plunder
170,170,1400832,4.24824294,4.5608159,0.9999980926513672,plunder
171,171,1409024,4.28784019,4.37337774,0.9999971389770508,plunder
172,172,1417216,4.0888138,4.12516052,0.9999980926513672,plunder
173,173,1425408,3.85571083,4.3679255900000005,0.9999973773956299,plunder
174,174,1433600,3.97768542,4.348552000000001,0.9999978542327881,plunder
175,175,1441792,3.79167691,4.39926603,0.9999978542327881,plunder
176,176,1449984,3.62913831,4.462946039999999,0.9999980926513672,plunder
177,177,1458176,3.67872772,4.47822785,0.9999978542327881,plunder
178,178,1466368,3.8256060300000003,4.55339899,0.9999971389770508,plunder
179,179,1474560,4.15130119,4.31655439,0.9999971389770508,plunder
180,180,1482752,4.310958830000001,4.009160250000001,0.999998152256012,plunder
181,181,1490944,4.2899574000000005,3.77088881,0.9999977350234985,plunder
182,182,1499136,4.34108007,3.54564692,0.9999979138374329,plunder
183,183,1507328,4.14021716,3.5128486499999996,0.9999978542327881,plunder
184,184,1515520,3.627142,3.4434240199999993,0.9999973773956299,plunder
185,185,1523712,3.44970462,3.5560166599999996,0.9999971389770508,plunder
186,186,1531904,3.41762452,3.3643256200000002,0.9999971389770508,plunder
187,187,1540096,3.6999021400000007,3.5371527099999995,0.9999979734420776,plunder
188,188,1548288,3.66697671,3.7838198099999993,0.9999980330467224,plunder
189,189,1556480,3.93639454,3.921870100000001,0.9999978542327881,plunder
190,190,1564672,4.38823196,4.02311848,0.9999978542327881,plunder
191,191,1572864,4.64585803,4.4658700399999995,0.9999979138374329,plunder
192,192,1581056,4.845636239999999,4.77247505,0.9999979734420776,plunder
193,193,1589248,4.75381799,5.00776013,0.9999980926513672,plunder
194,194,1597440,5.04778381,5.403092770000001,0.9999973773956299,plunder
195,195,1605632,5.40299962,5.708568400000002,0.9999979734420776,plunder
196,196,1613824,5.2596938799999995,5.96494766,0.9999980330467224,plunder
197,197,1622016,5.27297573,5.78170258,0.9999973773956299,plunder
198,198,1630208,5.515564590000001,6.01246689,0.9999973773956299,plunder
199,199,1638400,5.43203504,5.89896156,0.9999973773956299,plunder
200,200,1646592,5.75713419,5.519845800000001,0.9999983310699463,plunder
201,201,1654784,5.572623099999999,5.38487556,0.9998911023139954,plunder
202,202,1662976,5.33861592,5.28651526,0.9999980330467224,plunder
203,203,1671168,4.90977098,5.1036383700000005,0.9999980330467224,plunder
204,204,1679360,4.94582954,5.07931129,0.9999980330467224,plunder
205,205,1687552,4.982753120000001,5.4808999300000005,0.9999980330467224,plunder
206,206,1695744,5.35967074,5.772125550000002,0.9999978542327881,plunder
207,207,1703936,5.26340792,5.503224830000001,0.9999978542327881,plunder
208,208,1712128,5.28873205,5.745843150000002,0.9999980330467224,plunder
209,209,1720320,4.92593973,5.197098960000001,0.9999980926513672,plunder
210,210,1728512,4.926599200000001,5.18421073,0.9999983310699463,plunder
211,211,1736704,5.27828885,5.3166509600000005,0.9988561868667603,plunder
212,212,1744896,5.362246880000002,5.484296359999998,0.9999980330467224,plunder
213,213,1753088,5.288001800000001,5.6638466,0.9999983310699463,plunder
214,214,1761280,5.7582145,5.369304740000001,0.9999978542327881,plunder
215,215,1769472,5.487767730000001,5.28177838,0.9974331855773926,plunder
216,216,1777664,5.836519129999998,5.06198626,0.9999408721923828,plunder
217,217,1785856,6.292219319999999,5.12137128,0.9999980330467224,plunder
218,218,1794048,6.082904609999998,5.1204122199999995,0.9999980330467224,plunder
219,219,1802240,5.704499899999999,5.216372389999999,0.9999973773956299,plunder
