,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,2.703212734042553,2.6922760625000004,-0.09938574582338333,starpilot
1,1,16384,1.3487524400000004,1.4619515199999997,0.7903313040733337,starpilot
2,2,24576,1.7434499900000002,1.2539938499999999,-0.03011193871498108,starpilot
3,3,32768,1.81385931,1.13554408,0.7039727568626404,starpilot
4,4,40960,1.39814577,1.8161006599999996,0.3083534240722656,starpilot
5,5,49152,2.01717527,1.45518196,1.0,starpilot
6,6,57344,1.5599615499999997,2.0445906199999997,1.0,starpilot
7,7,65536,1.5952985699999997,1.91050929,0.9920762181282043,starpilot
8,8,73728,1.92228307,1.77680848,1.0,starpilot
9,9,81920,1.9822383399999999,2.40965097,1.0,starpilot
10,10,90112,2.21689746,2.3930210799999996,1.0,starpilot
11,11,98304,1.91912142,2.21765306,1.0,starpilot
12,12,106496,2.6741650700000004,2.11486815,1.0,starpilot
13,13,114688,2.2664000099999995,2.2957509399999996,1.0,starpilot
14,14,122880,2.0595429499999995,2.49148947,1.0,starpilot
15,15,131072,2.171479179999999,2.2642776700000002,1.0,starpilot
16,16,139264,2.3924698199999996,2.10218299,1.0,starpilot
17,17,147456,2.11120041,2.32047956,1.0,starpilot
18,18,155648,2.17190219,2.12651069,1.0,starpilot
19,19,163840,2.1094853399999995,2.07384008,1.0,starpilot
20,20,172032,2.1259338699999994,1.9690911200000003,1.0,starpilot
21,21,180224,2.29865156,1.9949837,1.0,starpilot
22,22,188416,2.21072168,2.14652531,1.0,starpilot
23,23,196608,2.27218674,2.15782339,1.0,starpilot
24,24,204800,2.2772666,2.17996804,1.0,starpilot
25,25,212992,2.23465584,2.3486476899999995,1.0,starpilot
26,26,221184,2.20382498,2.3049199799999998,1.0,starpilot
27,27,229376,2.27863604,2.41436748,1.0,starpilot
28,28,237568,2.2841056,2.4483868200000005,1.0,starpilot
29,29,245760,2.4653645799999997,2.24185137,1.0,starpilot
30,30,253952,2.12447239,2.16274767,1.0,starpilot
31,31,262144,2.0653941799999997,2.28183333,1.0,starpilot
32,32,270336,2.4860029299999997,2.5390388899999996,1.0,starpilot
33,33,278528,2.0235833299999997,2.1485055400000004,1.0,starpilot
34,34,286720,2.07182055,1.9104419900000003,1.0,starpilot
35,35,294912,2.3010102600000004,1.82356819,1.0,starpilot
36,36,303104,2.25267496,2.57544326,1.0,starpilot
37,37,311296,1.90586551,2.3388512,1.0,starpilot
38,38,319488,2.6470424400000003,2.5021564800000005,1.0,starpilot
39,39,327680,2.5503078400000003,2.3387433300000002,1.0,starpilot
40,40,335872,2.51922765,2.4389805300000003,1.0,starpilot
41,41,344064,2.50589318,2.03662441,1.0,starpilot
42,42,352256,2.44138943,2.03648951,1.0,starpilot
43,43,360448,2.2811034699999997,1.8675589199999998,1.0,starpilot
44,44,368640,2.46312291,2.15193361,1.0,starpilot
45,45,376832,2.52655169,2.2417985199999997,1.0,starpilot
46,46,385024,2.2145819499999995,2.56478641,1.0,starpilot
47,47,393216,2.52379535,2.1367937199999996,1.0,starpilot
48,48,401408,2.32934126,2.23467033,1.0,starpilot
49,49,409600,2.19504187,2.54031254,1.0,starpilot
