,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,2.3335843370786518,2.828310283950617,-0.1741986721754074,starpilot
1,1,16384,1.75860228,1.4592044999999998,0.1013774573802948,starpilot
2,2,24576,1.9910894399999999,1.3090284399999998,-0.17580929398536682,starpilot
3,3,32768,1.40859022,1.42313252,0.8986210227012634,starpilot
4,4,40960,1.23115195,1.83778411,1.0,starpilot
5,5,49152,1.4695181,1.39340214,-0.18013614416122437,starpilot
6,6,57344,1.9878057100000004,1.3936013399999998,0.2597346007823944,starpilot
7,7,65536,1.38312984,1.7294591899999998,-0.1427786499261856,starpilot
8,8,73728,1.4751926100000003,1.6550162000000004,1.0,starpilot
9,9,81920,2.1349233400000003,1.7675134899999998,1.0,starpilot
10,10,90112,1.6258022599999997,1.9807796899999996,1.0,starpilot
11,11,98304,2.06512115,1.6444266000000005,1.0,starpilot
12,12,106496,2.33474176,2.43126695,1.0,starpilot
13,13,114688,1.8833427600000006,1.9436044699999997,1.0,starpilot
14,14,122880,2.09531184,2.2311202100000003,1.0,starpilot
15,15,131072,2.00411534,2.07633139,1.0,starpilot
16,16,139264,2.25340609,1.8768155,1.0,starpilot
17,17,147456,2.08971164,2.0932435700000003,1.0,starpilot
18,18,155648,2.6213174199999996,2.07233757,1.0,starpilot
19,19,163840,2.2677265,2.3170007200000002,1.0,starpilot
20,20,172032,1.7409776200000002,2.0433331499999996,1.0,starpilot
21,21,180224,2.07135777,2.0216472800000003,1.0,starpilot
22,22,188416,2.4653630600000005,2.1087854999999998,1.0,starpilot
23,23,196608,2.5327840699999995,2.1779817,1.0,starpilot
24,24,204800,2.6666722800000002,2.5240293099999995,1.0,starpilot
25,25,212992,2.7182452100000005,2.1809600799999997,1.0,starpilot
26,26,221184,1.9840646499999999,2.46827465,1.0,starpilot
27,27,229376,2.1101717399999997,2.35314648,1.0,starpilot
28,28,237568,2.34410189,2.4894554999999996,1.0,starpilot
29,29,245760,2.3355449600000004,2.17299581,1.0,starpilot
30,30,253952,2.16854261,1.6588173199999998,1.0,starpilot
31,31,262144,2.08672787,1.97261515,1.0,starpilot
32,32,270336,2.03484229,2.18053322,1.0,starpilot
33,33,278528,2.26007072,2.08350546,1.0,starpilot
34,34,286720,2.82942264,2.20110845,1.0,starpilot
35,35,294912,1.9767022500000002,2.45807281,1.0,starpilot
36,36,303104,2.05958639,2.2517011200000003,1.0,starpilot
37,37,311296,2.0090010099999995,2.16359473,1.0,starpilot
38,38,319488,1.8775346599999998,1.9413657700000004,1.0,starpilot
39,39,327680,2.04482901,2.6542284700000005,1.0,starpilot
40,40,335872,2.15595889,2.47584125,1.0,starpilot
41,41,344064,2.5977543999999995,1.9872142300000002,1.0,starpilot
42,42,352256,2.4069245599999998,1.8686457499999998,1.0,starpilot
43,43,360448,2.09556199,1.7951790499999998,1.0,starpilot
44,44,368640,2.37648743,1.73904335,1.0,starpilot
45,45,376832,2.44717689,1.9969542100000002,1.0,starpilot
46,46,385024,2.6837459100000003,2.0196967999999997,1.0,starpilot
47,47,393216,2.41920904,2.33358801,1.0,starpilot
48,48,401408,2.66970856,2.34278576,1.0,starpilot
49,49,409600,2.1964275900000003,2.21704079,1.0,starpilot
50,50,417792,2.2699780900000004,2.4534860500000004,1.0,starpilot
51,51,425984,2.5593974100000003,2.32317262,1.0,starpilot
52,52,434176,2.42442636,2.1075790599999995,1.0,starpilot
53,53,442368,2.7239241899999995,2.30393165,1.0,starpilot
54,54,450560,2.9180729000000003,2.43922927,1.0,starpilot
55,55,458752,2.5320615899999996,2.7141905100000003,1.0,starpilot
56,56,466944,2.70551135,2.41635721,1.0,starpilot
57,57,475136,2.7775307500000004,2.66486079,1.0,starpilot
58,58,483328,2.66524522,2.4904062099999997,1.0,starpilot
59,59,491520,2.5558700400000003,2.3469252,1.0,starpilot
60,60,499712,2.15848664,2.20732079,1.0,starpilot
61,61,507904,2.4064981399999996,2.23867369,1.0,starpilot
62,62,516096,2.5757335500000007,2.48471371,1.0,starpilot
63,63,524288,2.1641352000000005,2.0744806600000003,1.0,starpilot
64,64,532480,2.4693706100000004,2.0526116400000003,1.0,starpilot
65,65,540672,2.3470012999999996,2.23814869,1.0,starpilot
66,66,548864,2.2564290600000003,2.6144119299999993,1.0,starpilot
67,67,557056,2.41436765,2.3838652499999995,1.0,starpilot
