,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,2.9027542999999993,2.3574131529411764,0.3113252520561218,starpilot
1,1,16384,1.8597278300000002,1.48015739,0.9977506995201111,starpilot
2,2,24576,1.4703149,1.5473662099999999,1.0,starpilot
3,3,32768,1.64662103,1.5856706699999998,1.0,starpilot
4,4,40960,1.4974879700000003,1.6464317899999998,1.0,starpilot
5,5,49152,1.49328657,1.3898831100000004,1.0,starpilot
6,6,57344,1.78580978,1.2366663299999998,1.0,starpilot
7,7,65536,1.6037874699999997,1.3131615000000003,1.0,starpilot
8,8,73728,1.3921868599999998,1.2645384800000001,1.0,starpilot
9,9,81920,1.80719382,1.22191435,1.0,starpilot
10,10,90112,1.6421104,1.4830365999999997,1.0,starpilot
11,11,98304,1.8818128699999996,1.3451222299999999,1.0,starpilot
12,12,106496,1.65420693,1.5852829200000003,1.0,starpilot
13,13,114688,1.6370995500000003,1.69513598,1.0,starpilot
14,14,122880,1.52149899,2.0220055900000005,1.0,starpilot
15,15,131072,1.8293240600000003,1.7457286100000005,1.0,starpilot
16,16,139264,2.30257754,2.0379928300000003,1.0,starpilot
17,17,147456,2.11494686,1.9660626700000001,1.0,starpilot
18,18,155648,2.01877427,2.37266878,1.0,starpilot
19,19,163840,1.9228123699999997,2.29217061,1.0,starpilot
20,20,172032,2.17327247,2.03082362,1.0,starpilot
21,21,180224,1.93118897,2.1118499600000002,1.0,starpilot
22,22,188416,2.30207595,2.82482421,1.0,starpilot
23,23,196608,2.52196213,2.56683537,1.0,starpilot
24,24,204800,2.15288432,2.4195601300000003,1.0,starpilot
25,25,212992,2.4212432900000005,2.10649555,1.0,starpilot
26,26,221184,2.4395121100000003,2.5210764699999997,1.0,starpilot
27,27,229376,2.1216328300000002,2.56476176,1.0,starpilot
28,28,237568,2.2910252300000002,2.03937418,1.0,starpilot
29,29,245760,2.3983466599999996,2.2792628500000003,1.0,starpilot
30,30,253952,2.4652496599999996,2.3046229499999997,1.0,starpilot
31,31,262144,2.13862041,2.22807602,1.0,starpilot
32,32,270336,2.35468192,2.4160885399999996,1.0,starpilot
33,33,278528,2.32606019,2.02799467,1.0,starpilot
34,34,286720,2.39487358,2.20701232,1.0,starpilot
35,35,294912,2.1105403299999996,2.5762229000000003,1.0,starpilot
36,36,303104,2.5506662799999997,2.50822156,1.0,starpilot
37,37,311296,2.4613364,2.14859675,1.0,starpilot
38,38,319488,2.1902703299999997,2.23411808,1.0,starpilot
39,39,327680,2.41539892,2.08046681,1.0,starpilot
40,40,335872,2.22560616,2.14684347,1.0,starpilot
41,41,344064,2.29472721,2.3745988399999995,1.0,starpilot
42,42,352256,2.31696451,2.4277962900000003,1.0,starpilot
43,43,360448,2.34686002,2.4446392100000005,1.0,starpilot
44,44,368640,2.1006445499999997,2.13674641,1.0,starpilot
45,45,376832,2.13790737,1.92540332,1.0,starpilot
46,46,385024,2.30943716,2.22159118,1.0,starpilot
47,47,393216,2.3246679100000005,2.29421142,1.0,starpilot
48,48,401408,2.28958586,2.03272151,1.0,starpilot
49,49,409600,2.2976628299999997,2.12884819,1.0,starpilot
50,50,417792,2.3495998,2.13198164,1.0,starpilot
51,51,425984,2.09523985,2.32725399,1.0,starpilot
52,52,434176,2.74182783,2.4661086900000004,1.0,starpilot
53,53,442368,2.48409157,2.7324468699999995,1.0,starpilot
54,54,450560,2.5447799,2.84646786,1.0,starpilot
55,55,458752,2.4343297199999996,2.4525410800000005,1.0,starpilot
56,56,466944,2.39116598,2.21947699,1.0,starpilot
57,57,475136,2.9792019999999995,2.58711334,1.0,starpilot
58,58,483328,3.0532976300000003,2.6791695399999997,1.0,starpilot
59,59,491520,3.2458557399999997,2.4720204,1.0,starpilot
60,60,499712,2.8255956299999996,2.4371384199999997,1.0,starpilot
61,61,507904,3.10007002,2.4876272999999998,1.0,starpilot
62,62,516096,2.46392767,2.6861655799999995,1.0,starpilot
63,63,524288,2.60726624,2.26601872,1.0,starpilot
64,64,532480,2.61949122,2.21646109,1.0,starpilot
65,65,540672,2.974614399999999,2.1877733900000003,1.0,starpilot
66,66,548864,2.98124398,2.3129873100000005,1.0,starpilot
67,67,557056,2.885085149999999,2.2113388000000005,1.0,starpilot
68,68,565248,2.72054292,2.6328939799999995,1.0,starpilot
69,69,573440,2.67587513,2.6569093599999998,1.0,starpilot
70,70,581632,2.6002269399999993,3.0060868200000006,1.0,starpilot
71,71,589824,2.58595019,2.7619245100000005,1.0,starpilot
72,72,598016,2.1344948999999995,2.36891097,1.0,starpilot
73,73,606208,2.51742106,2.2799002899999996,1.0,starpilot
74,74,614400,2.58707193,2.2025445,1.0,starpilot
75,75,622592,2.6445234099999997,1.9251096000000003,1.0,starpilot
76,76,630784,2.48518931,2.1912277000000002,1.0,starpilot
77,77,638976,2.8336904200000004,2.31410379,1.0,starpilot
78,78,647168,2.68484952,2.49856189,1.0,starpilot
79,79,655360,2.56524791,2.2996768700000003,1.0,starpilot
80,80,663552,2.6054981099999996,2.6644797,1.0,starpilot
81,81,671744,2.5281804,2.5806967199999997,1.0,starpilot
82,82,679936,2.7982714800000004,2.5947991999999998,1.0,starpilot
83,83,688128,2.23456845,2.83966662,1.0,starpilot
84,84,696320,1.9782158,2.3203236300000003,1.0,starpilot
85,85,704512,2.40218185,2.2039913199999996,1.0,starpilot
86,86,712704,2.1917131700000003,2.83352871,1.0,starpilot
87,87,720896,2.1304171400000005,2.89639937,1.0,starpilot
88,88,729088,2.94568306,2.31908624,1.0,starpilot
89,89,737280,2.4842602400000002,2.40247939,1.0,starpilot
90,90,745472,2.44605332,2.96914236,1.0,starpilot
91,91,753664,2.55876417,2.63873041,1.0,starpilot
92,92,761856,2.9629657599999994,2.585464880000001,1.0,starpilot
93,93,770048,3.0315698,2.4077741799999997,1.0,starpilot
94,94,778240,2.719937919999999,2.53186818,1.0,starpilot
95,95,786432,2.61714153,2.31994516,1.0,starpilot
96,96,794624,2.76248455,2.4728814100000003,1.0,starpilot
