,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,2.3665170674157303,2.4577590000000002,-0.10812079906463623,starpilot
1,1,16384,1.13246052,1.5594122299999997,-0.13356967270374298,starpilot
2,2,24576,1.39769884,1.5574279400000004,-0.1587875932455063,starpilot
3,3,32768,1.34062985,1.3112161400000002,-0.186703160405159,starpilot
4,4,40960,1.5014066200000002,1.32591612,-0.0778297632932663,starpilot
5,5,49152,1.7943322199999998,1.6143497299999998,0.8305923342704773,starpilot
6,6,57344,1.59179315,1.3706590600000002,0.946653425693512,starpilot
7,7,65536,1.6443880000000002,1.61043545,0.9906644225120544,starpilot
8,8,73728,1.9112213699999998,2.0834429799999996,0.9982479214668274,starpilot
9,9,81920,1.78021057,1.7614423099999998,1.0,starpilot
10,10,90112,2.0167888400000002,1.9066340199999998,1.0,starpilot
11,11,98304,1.96475368,2.10595182,1.0,starpilot
12,12,106496,2.0711065499999997,2.3136676499999997,1.0,starpilot
13,13,114688,2.1232851100000003,2.61162031,1.0,starpilot
14,14,122880,1.99319389,2.42576016,1.0,starpilot
15,15,131072,2.24894117,2.24226109,1.0,starpilot
16,16,139264,2.33531044,2.2757988900000004,1.0,starpilot
17,17,147456,2.38763414,1.9442697700000002,1.0,starpilot
18,18,155648,2.714907529999999,2.09028956,1.0,starpilot
19,19,163840,2.06279272,2.1495277899999996,1.0,starpilot
20,20,172032,2.08622455,2.2735028800000006,1.0,starpilot
21,21,180224,1.9224091200000002,2.05523008,1.0,starpilot
22,22,188416,1.7295857899999998,1.9518529299999998,1.0,starpilot
23,23,196608,2.1046507500000002,1.7241855600000002,1.0,starpilot
24,24,204800,2.1072254399999997,2.08953259,1.0,starpilot
25,25,212992,1.8623045500000002,2.14155813,1.0,starpilot
26,26,221184,1.9658238600000002,2.33008683,1.0,starpilot
27,27,229376,2.0724855100000004,2.4558523199999995,1.0,starpilot
28,28,237568,1.78052659,1.9343916900000002,1.0,starpilot
29,29,245760,2.0971108500000004,1.6689712399999999,1.0,starpilot
30,30,253952,2.0374481700000002,1.90237502,1.0,starpilot
31,31,262144,1.8567881099999999,2.13142294,1.0,starpilot
32,32,270336,2.21605157,2.20212008,1.0,starpilot
33,33,278528,1.9369656599999998,1.98006189,1.0,starpilot
34,34,286720,2.4391744500000003,1.99873649,1.0,starpilot
35,35,294912,2.0196797899999996,2.12515691,1.0,starpilot
36,36,303104,2.4231130000000003,2.0356050800000003,1.0,starpilot
37,37,311296,2.3036498,1.93501008,1.0,starpilot
38,38,319488,2.5621233900000004,2.05864634,1.0,starpilot
39,39,327680,2.08272103,1.8545096400000003,1.0,starpilot
40,40,335872,2.3666737,2.02528753,1.0,starpilot
41,41,344064,2.25123387,1.8956144999999998,1.0,starpilot
42,42,352256,2.1934736399999997,2.0920683700000002,1.0,starpilot
43,43,360448,2.2548744299999997,2.46360299,1.0,starpilot
44,44,368640,2.0075475899999997,2.10634613,1.0,starpilot
45,45,376832,2.43947169,1.9846424900000001,1.0,starpilot
46,46,385024,2.3577549599999994,2.1674115099999995,1.0,starpilot
47,47,393216,2.4755132,2.2598049000000002,1.0,starpilot
48,48,401408,2.6606134,2.26847873,1.0,starpilot
49,49,409600,2.3744272200000003,2.2534262000000003,1.0,starpilot
50,50,417792,1.88972719,2.3905783300000003,1.0,starpilot
51,51,425984,2.2318749600000003,2.0734274099999994,1.0,starpilot
52,52,434176,2.64346308,2.0840928799999996,1.0,starpilot
53,53,442368,2.44966498,2.36330302,1.0,starpilot
54,54,450560,2.18438859,2.41883973,1.0,starpilot
55,55,458752,2.5406418200000003,2.46859935,1.0,starpilot
56,56,466944,2.23981745,2.12956538,1.0,starpilot
57,57,475136,1.7858765599999997,2.5427667799999996,1.0,starpilot
58,58,483328,2.08536951,2.4235013800000003,1.0,starpilot
59,59,491520,2.15129371,2.1528199899999994,1.0,starpilot
60,60,499712,2.0043429699999997,2.0678940800000003,1.0,starpilot
61,61,507904,2.30768422,1.96581149,1.0,starpilot
62,62,516096,2.19627711,1.9476923600000005,1.0,starpilot
63,63,524288,2.17584736,1.9747452199999997,1.0,starpilot
64,64,532480,2.1733511999999995,2.42988161,1.0,starpilot
65,65,540672,2.10042932,1.9061798399999998,1.0,starpilot
66,66,548864,1.9925295600000001,2.1342829599999997,1.0,starpilot
67,67,557056,2.04517626,2.1326505300000003,1.0,starpilot
68,68,565248,2.5168467900000002,2.3185453499999995,1.0,starpilot
69,69,573440,2.19669316,2.0577064199999997,1.0,starpilot
70,70,581632,2.34558632,2.0441445199999997,1.0,starpilot
71,71,589824,1.8564458799999999,1.8418545699999997,1.0,starpilot
72,72,598016,2.07382201,2.5150525000000004,1.0,starpilot
73,73,606208,1.88317876,2.03985757,1.0,starpilot
74,74,614400,2.18381695,2.16006308,1.0,starpilot
75,75,622592,1.99354398,2.22483144,1.0,starpilot
76,76,630784,2.6295165399999996,2.39151621,1.0,starpilot
77,77,638976,2.3836546199999997,2.01045862,1.0,starpilot
78,78,647168,1.92819876,2.3346857200000004,1.0,starpilot
79,79,655360,2.39801601,2.4850451899999997,1.0,starpilot
80,80,663552,2.43486023,2.23045386,1.0,starpilot
81,81,671744,2.68219216,2.6578903899999995,1.0,starpilot
82,82,679936,2.39556745,2.1347099,1.0,starpilot
83,83,688128,2.67089152,2.27089821,1.0,starpilot
84,84,696320,2.5460992200000003,1.9286578400000005,1.0,starpilot
85,85,704512,2.5360473,2.4326248100000005,1.0,starpilot
86,86,712704,2.6035359099999997,2.67857711,1.0,starpilot
87,87,720896,2.37110356,2.3968498099999995,1.0,starpilot
88,88,729088,2.59541263,2.1105341400000004,1.0,starpilot
89,89,737280,2.9426157899999996,2.18132408,1.0,starpilot
90,90,745472,2.3949372899999997,2.21383928,1.0,starpilot
91,91,753664,2.19826921,1.96072277,1.0,starpilot
92,92,761856,2.51698288,2.43126242,1.0,starpilot
93,93,770048,2.70936918,2.3924751200000003,1.0,starpilot
94,94,778240,2.49164429,2.32112112,1.0,starpilot
95,95,786432,2.8122523399999992,2.07022816,1.0,starpilot
96,96,794624,2.9927589500000007,2.2449388599999995,1.0,starpilot
97,97,802816,2.76916678,2.26236473,1.0,starpilot
98,98,811008,2.85345873,2.37681653,1.0,starpilot
99,99,819200,2.7910861499999995,2.24371446,1.0,starpilot
100,100,827392,2.36133782,2.6621212599999997,1.0,starpilot
101,101,835584,2.4760355400000003,2.3867235699999996,1.0,starpilot
102,102,843776,2.6231931100000003,2.56429638,1.0,starpilot
103,103,851968,2.3912647300000005,2.4916620799999993,1.0,starpilot
104,104,860160,2.44052686,2.38423722,1.0,starpilot
105,105,868352,3.0306327200000003,2.46526662,1.0,starpilot
106,106,876544,2.6997573299999997,2.4101641899999997,1.0,starpilot
107,107,884736,2.77148928,2.23577738,1.0,starpilot
108,108,892928,2.7698418300000003,2.6017515499999995,1.0,starpilot
109,109,901120,2.73143218,2.71291538,1.0,starpilot
110,110,909312,2.6756584200000004,2.5393734199999995,1.0,starpilot
111,111,917504,2.5831935099999996,2.5851930300000006,1.0,starpilot
112,112,925696,2.8368877199999996,2.2731137699999997,1.0,starpilot
113,113,933888,2.7373674699999997,2.58097812,1.0,starpilot
114,114,942080,2.40148027,2.3525284299999996,1.0,starpilot
115,115,950272,2.37271928,2.61598,1.0,starpilot
116,116,958464,2.32562975,2.3727775299999996,1.0,starpilot
117,117,966656,2.57640692,2.53198381,1.0,starpilot
118,118,974848,2.59241062,2.08494422,1.0,starpilot
119,119,983040,2.7165372299999997,2.40129436,1.0,starpilot
120,120,991232,2.25227289,2.4012198799999998,1.0,starpilot
121,121,999424,2.27710456,2.4689818399999997,1.0,starpilot
122,122,1007616,2.30660188,2.40162357,1.0,starpilot
123,123,1015808,2.5548274899999996,2.5044258800000003,1.0,starpilot
124,124,1024000,2.69951368,2.4181076299999997,1.0,starpilot
125,125,1032192,2.4325646199999995,2.44533828,1.0,starpilot
126,126,1040384,2.3299058400000003,2.20351243,1.0,starpilot
