,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,2.0004994255319146,2.3893032738095235,0.2728825509548187,starpilot
1,1,16384,1.4687021900000001,1.2010703999999999,0.163397416472435,starpilot
2,2,24576,1.8228984499999998,1.69421822,0.7345155477523804,starpilot
3,3,32768,1.5537849400000006,1.3974890700000002,1.0,starpilot
4,4,40960,1.27416858,1.6258390299999999,1.0,starpilot
5,5,49152,1.6659823900000001,1.7022637799999998,1.0,starpilot
6,6,57344,1.70587219,1.68349336,1.0,starpilot
7,7,65536,1.5342752400000002,1.50253346,1.0,starpilot
8,8,73728,1.3940248,1.64593863,1.0,starpilot
9,9,81920,1.88279055,1.83498308,1.0,starpilot
10,10,90112,1.57052854,1.69820119,1.0,starpilot
11,11,98304,1.9621518400000002,1.8395257800000004,1.0,starpilot
12,12,106496,1.76032174,1.88671242,1.0,starpilot
13,13,114688,1.99633149,1.4367882400000003,1.0,starpilot
14,14,122880,2.01550496,1.68969085,1.0,starpilot
15,15,131072,2.0137563799999993,1.86510851,1.0,starpilot
16,16,139264,2.03213973,2.5694197299999995,1.0,starpilot
17,17,147456,2.6487978899999995,2.5198829099999998,1.0,starpilot
18,18,155648,2.3218020399999997,2.1486301900000004,1.0,starpilot
19,19,163840,2.39547366,2.25470433,1.0,starpilot
20,20,172032,2.476351,1.99182985,1.0,starpilot
21,21,180224,2.2955068700000005,2.33579038,1.0,starpilot
22,22,188416,1.93789915,1.9113591300000001,1.0,starpilot
23,23,196608,2.17454627,2.18412507,1.0,starpilot
24,24,204800,2.2310447900000003,1.64775357,1.0,starpilot
25,25,212992,2.20661693,1.9616042000000002,1.0,starpilot
26,26,221184,1.9523359500000002,1.9739010300000002,1.0,starpilot
27,27,229376,2.24406152,2.0649916500000005,1.0,starpilot
28,28,237568,1.9100842199999999,2.08051645,1.0,starpilot
29,29,245760,2.5338448600000003,2.38387867,1.0,starpilot
30,30,253952,2.59089337,2.14098241,1.0,starpilot
31,31,262144,2.18162769,2.38688602,1.0,starpilot
32,32,270336,2.04924237,2.2757946200000005,1.0,starpilot
33,33,278528,1.9185473000000002,2.25402349,1.0,starpilot
34,34,286720,2.2402552399999998,2.47709714,1.0,starpilot
35,35,294912,2.25610951,2.35838482,1.0,starpilot
36,36,303104,2.3087844100000003,2.46629492,1.0,starpilot
37,37,311296,2.4430253000000004,2.19342992,1.0,starpilot
38,38,319488,2.13269136,2.3719956600000005,1.0,starpilot
39,39,327680,1.4430840800000002,1.9701770399999998,1.0,starpilot
40,40,335872,2.2173857600000004,1.8196050200000002,1.0,starpilot
41,41,344064,2.11121947,1.72493403,1.0,starpilot
42,42,352256,2.1488898699999996,2.1194339999999996,1.0,starpilot
43,43,360448,2.21805217,1.7827301000000002,1.0,starpilot
44,44,368640,2.01956215,2.43167067,1.0,starpilot
45,45,376832,2.1499502699999997,2.4055389999999996,1.0,starpilot
46,46,385024,2.1103335800000003,2.45393534,1.0,starpilot
47,47,393216,2.34056281,1.8738717200000001,1.0,starpilot
48,48,401408,2.1731277799999997,1.95605811,1.0,starpilot
49,49,409600,1.98102192,2.23163848,1.0,starpilot
50,50,417792,2.3685446900000002,2.27786434,1.0,starpilot
51,51,425984,2.1909455,1.9005245299999998,1.0,starpilot
52,52,434176,2.0637681800000003,1.88839256,1.0,starpilot
53,53,442368,2.3139761800000005,2.2035543,1.0,starpilot
54,54,450560,2.14201118,1.95102416,1.0,starpilot
55,55,458752,2.1934936499999997,1.7939472100000002,1.0,starpilot
56,56,466944,1.8579853599999998,2.1172663299999996,1.0,starpilot
57,57,475136,2.24813168,1.7179442299999999,1.0,starpilot
58,58,483328,1.9649028899999998,2.07351714,1.0,starpilot
59,59,491520,2.15867764,2.3824852,1.0,starpilot
60,60,499712,2.10413726,2.16661425,1.0,starpilot
61,61,507904,2.0764794099999997,2.4199102999999997,1.0,starpilot
62,62,516096,1.9429042800000003,2.15189628,1.0,starpilot
63,63,524288,1.9890246100000002,2.39857188,1.0,starpilot
64,64,532480,1.79671577,2.39261783,1.0,starpilot
65,65,540672,2.09524429,2.15095377,1.0,starpilot
66,66,548864,2.3843774900000003,1.9967052000000003,1.0,starpilot
67,67,557056,2.32653801,2.18409197,1.0,starpilot
68,68,565248,2.0259394299999998,1.9364589800000003,1.0,starpilot
69,69,573440,2.3084357900000003,2.2443862799999996,1.0,starpilot
70,70,581632,2.5185687800000003,2.24858301,1.0,starpilot
71,71,589824,2.4214377299999996,2.2793735699999997,1.0,starpilot
72,72,598016,2.2188965,2.1201765,1.0,starpilot
73,73,606208,2.10015368,2.38925306,1.0,starpilot
74,74,614400,2.2507781899999997,2.4701524900000003,1.0,starpilot
75,75,622592,2.42376771,2.20748361,1.0,starpilot
76,76,630784,2.4276199099999998,1.73267783,1.0,starpilot
77,77,638976,2.2366823200000003,2.0761104,1.0,starpilot
78,78,647168,2.20342844,1.8854333200000002,1.0,starpilot
79,79,655360,2.48737437,2.3870218199999997,1.0,starpilot
80,80,663552,2.2278678800000002,2.31750093,1.0,starpilot
81,81,671744,2.2334213099999998,2.8292164499999997,1.0,starpilot
82,82,679936,2.6071357799999997,2.44850708,1.0,starpilot
83,83,688128,2.7963952499999998,2.28125224,1.0,starpilot
84,84,696320,2.8375956900000006,2.1984113,1.0,starpilot
85,85,704512,2.4624195400000004,2.03435215,1.0,starpilot
86,86,712704,2.31103865,2.17892889,1.0,starpilot
87,87,720896,2.4931516099999995,2.5847945500000002,1.0,starpilot
88,88,729088,2.51168881,2.619785909999999,1.0,starpilot
89,89,737280,2.9012058999999994,2.6121790299999996,1.0,starpilot
90,90,745472,2.764442219999999,2.5608005100000004,1.0,starpilot
91,91,753664,2.44254003,2.45991681,1.0,starpilot
92,92,761856,2.58513423,2.41272217,1.0,starpilot
93,93,770048,2.56790735,2.47528484,1.0,starpilot
94,94,778240,2.4121200900000006,2.6283579400000003,1.0,starpilot
95,95,786432,2.67662173,2.77723273,1.0,starpilot
96,96,794624,2.8936951399999993,2.74438845,1.0,starpilot
97,97,802816,2.8049011700000004,2.6670525200000004,1.0,starpilot
98,98,811008,2.41485393,2.5983062,1.0,starpilot
99,99,819200,2.6465096600000004,2.35312172,1.0,starpilot
100,100,827392,2.87816176,2.3902705799999997,1.0,starpilot
101,101,835584,2.9164056700000005,2.7645581000000004,1.0,starpilot
102,102,843776,2.6914191700000005,2.59219335,1.0,starpilot
103,103,851968,3.0101160599999996,2.74345305,1.0,starpilot
104,104,860160,3.28267453,2.6552504600000004,1.0,starpilot
105,105,868352,2.89091774,2.6050193600000005,1.0,starpilot
106,106,876544,2.8226239900000003,2.83338141,1.0,starpilot
107,107,884736,3.02798558,2.96194321,1.0,starpilot
108,108,892928,2.93650634,3.395576740000001,1.0,starpilot
109,109,901120,2.4995788,3.12431085,1.0,starpilot
110,110,909312,2.81016929,3.14630198,1.0,starpilot
