,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,2.138795882352941,2.9529276500000003,0.47826164960861206,starpilot
1,1,16384,1.4898922999999997,1.4990382500000001,1.0,starpilot
2,2,24576,1.67419566,1.31688258,1.0,starpilot
3,3,32768,1.5964140800000002,1.52000801,1.0,starpilot
4,4,40960,1.7291719700000003,1.6097245900000001,1.0,starpilot
5,5,49152,1.7442193300000002,1.6657717500000002,1.0,starpilot
6,6,57344,1.5095541799999999,1.59164953,1.0,starpilot
7,7,65536,1.8119212500000004,1.7047078499999997,1.0,starpilot
8,8,73728,1.85592238,1.4407675099999997,1.0,starpilot
9,9,81920,1.91185021,1.55598487,1.0,starpilot
10,10,90112,2.10931086,2.2815221599999997,1.0,starpilot
11,11,98304,2.6425056899999997,2.11169705,1.0,starpilot
12,12,106496,2.4349715599999997,1.9758629099999998,1.0,starpilot
13,13,114688,2.3858377600000003,2.43068858,1.0,starpilot
14,14,122880,2.642716449999999,2.2303759999999997,1.0,starpilot
15,15,131072,2.06250601,2.54674476,1.0,starpilot
16,16,139264,2.1654634699999997,1.8056532799999996,1.0,starpilot
17,17,147456,1.9162480300000002,1.98368778,1.0,starpilot
18,18,155648,1.7666716999999996,1.8486237300000001,1.0,starpilot
19,19,163840,1.8326984800000004,2.16862284,1.0,starpilot
20,20,172032,1.8138638799999995,1.71872338,1.0,starpilot
21,21,180224,2.00767534,1.9601411299999998,1.0,starpilot
22,22,188416,2.17351912,2.6017613599999994,1.0,starpilot
23,23,196608,2.1836651099999993,2.0476069299999997,1.0,starpilot
24,24,204800,2.07687694,2.3644923899999997,1.0,starpilot
25,25,212992,2.50313594,2.62859602,1.0,starpilot
26,26,221184,2.37575313,2.04050467,1.0,starpilot
27,27,229376,2.1053730899999996,2.7145603900000004,1.0,starpilot
28,28,237568,2.24888326,2.50091871,1.0,starpilot
29,29,245760,2.46177859,2.12333483,1.0,starpilot
30,30,253952,2.18923218,2.2582453399999993,1.0,starpilot
31,31,262144,2.6133945499999998,2.1920586499999994,1.0,starpilot
32,32,270336,2.2419471799999995,1.9485045000000003,1.0,starpilot
33,33,278528,2.31454274,2.02641883,1.0,starpilot
34,34,286720,1.8349697999999999,1.96912496,1.0,starpilot
35,35,294912,2.10634684,2.35372585,1.0,starpilot
36,36,303104,1.91740541,2.3775508999999997,1.0,starpilot
37,37,311296,2.7937323599999995,2.0141327,1.0,starpilot
38,38,319488,2.35352029,2.2270833800000007,1.0,starpilot
39,39,327680,2.52170271,2.4090323199999997,1.0,starpilot
40,40,335872,2.24017714,2.2738246099999997,1.0,starpilot
41,41,344064,2.7578215999999998,2.1521232099999996,1.0,starpilot
42,42,352256,2.54111245,2.14872791,1.0,starpilot
43,43,360448,2.27961684,1.98217761,1.0,starpilot
44,44,368640,2.5960155099999995,2.4128427599999998,1.0,starpilot
45,45,376832,2.6494228399999997,2.36674857,1.0,starpilot
46,46,385024,2.5891870299999997,2.1579409999999997,1.0,starpilot
47,47,393216,2.5966843999999996,2.4143326000000003,1.0,starpilot
48,48,401408,2.15258535,2.5447538599999997,1.0,starpilot
49,49,409600,2.1309818500000004,2.5369082499999998,1.0,starpilot
50,50,417792,2.36340444,1.9629482100000004,1.0,starpilot
51,51,425984,2.3857039499999995,1.8326762600000002,1.0,starpilot
52,52,434176,2.23937,2.01955468,1.0,starpilot
53,53,442368,2.0350108999999996,2.5527731599999997,1.0,starpilot
54,54,450560,1.9810334500000004,2.26190114,1.0,starpilot
55,55,458752,2.37498836,2.40473598,1.0,starpilot
56,56,466944,2.68718756,2.5663425799999997,1.0,starpilot
57,57,475136,2.51687201,2.22887934,1.0,starpilot
58,58,483328,2.2022220399999997,2.3029578799999997,1.0,starpilot
59,59,491520,2.6316808099999998,2.33679932,1.0,starpilot
60,60,499712,2.31068124,2.36775687,1.0,starpilot
61,61,507904,1.94316026,1.9338246899999998,1.0,starpilot
62,62,516096,2.0237380600000003,2.12256206,1.0,starpilot
63,63,524288,2.0589749500000005,2.15159234,1.0,starpilot
64,64,532480,2.0495359,1.7182897600000002,1.0,starpilot
65,65,540672,1.77681089,2.26277735,1.0,starpilot
66,66,548864,2.0841875400000003,2.0850910799999998,1.0,starpilot
67,67,557056,2.2539353899999997,2.31305526,1.0,starpilot
68,68,565248,2.52467113,2.24761964,1.0,starpilot
69,69,573440,2.42750976,2.3319729000000002,1.0,starpilot
70,70,581632,2.2028477500000005,2.01021758,1.0,starpilot
71,71,589824,2.30471875,1.9942730800000001,1.0,starpilot
72,72,598016,1.9436770800000003,2.01366115,1.0,starpilot
73,73,606208,2.4327587,2.1548885199999996,1.0,starpilot
74,74,614400,2.50570445,2.34263619,1.0,starpilot
75,75,622592,2.58800105,2.63005132,1.0,starpilot
76,76,630784,2.531243,2.3866530699999995,1.0,starpilot
77,77,638976,2.26600212,2.40801097,1.0,starpilot
78,78,647168,2.39456838,2.17663018,1.0,starpilot
79,79,655360,3.286149419999999,2.35595899,1.0,starpilot
80,80,663552,2.64232359,2.4928202400000004,1.0,starpilot
81,81,671744,2.5166622899999997,2.603410400000001,1.0,starpilot
82,82,679936,2.824592000000001,2.1393926100000002,1.0,starpilot
83,83,688128,2.71479981,1.9866049000000001,1.0,starpilot
84,84,696320,2.5261834000000003,2.06168803,1.0,starpilot
85,85,704512,2.3347799399999998,2.58586531,1.0,starpilot
86,86,712704,2.5920213200000006,2.6266566400000007,1.0,starpilot
87,87,720896,2.6691337199999996,2.36147513,1.0,starpilot
88,88,729088,2.4796264900000002,2.50082057,1.0,starpilot
89,89,737280,2.45217998,2.5828918400000003,1.0,starpilot
90,90,745472,2.9013955699999996,2.8852276999999997,1.0,starpilot
91,91,753664,2.5515940599999998,2.40100129,1.0,starpilot
