,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,2.4387123510638298,2.440963539325842,0.6011105179786682,starpilot
1,1,16384,1.4287020899999998,1.49374937,0.7019422054290771,starpilot
2,2,24576,1.6631894299999999,1.3747744,0.9468955397605896,starpilot
3,3,32768,1.2738196,1.4767410299999997,0.935735821723938,starpilot
4,4,40960,1.4388601000000003,1.33753908,0.781804621219635,starpilot
5,5,49152,1.45741898,1.2412889200000001,0.9215806722640991,starpilot
6,6,57344,1.3306027699999998,1.6131576500000002,0.9999896883964539,starpilot
7,7,65536,1.5816999699999998,1.6780793399999998,1.0,starpilot
8,8,73728,1.49892336,1.33376844,1.0,starpilot
9,9,81920,1.38317021,1.37451152,1.0,starpilot
10,10,90112,1.4830800599999998,1.89624292,1.0,starpilot
11,11,98304,1.8944196300000002,1.8247813300000002,0.9999831914901733,starpilot
12,12,106496,1.4763140899999998,1.8641810000000003,1.0,starpilot
13,13,114688,2.14875914,1.9258467199999998,1.0,starpilot
14,14,122880,1.94181408,2.06948847,1.0,starpilot
15,15,131072,1.7657481900000003,2.2281341799999996,1.0,starpilot
16,16,139264,2.25075721,1.7236882900000001,0.9999809861183167,starpilot
17,17,147456,1.92257662,1.9475659300000001,0.9998345375061035,starpilot
18,18,155648,1.81667726,1.9853875799999998,0.999994158744812,starpilot
19,19,163840,2.03189433,2.24098774,1.0,starpilot
20,20,172032,1.6533120900000002,2.6653849399999996,0.9897360801696777,starpilot
21,21,180224,2.32273913,2.861088449999999,0.9979788661003113,starpilot
22,22,188416,2.25000594,2.2327489099999998,0.9940363168716431,starpilot
23,23,196608,2.18287355,2.1156855200000004,1.0,starpilot
24,24,204800,2.4937647300000005,2.33227713,1.0,starpilot
25,25,212992,2.3265067900000003,2.01445645,0.9999837279319763,starpilot
26,26,221184,2.55864758,2.16342187,0.9999933242797852,starpilot
27,27,229376,2.22157261,2.61762037,0.9999923706054688,starpilot
28,28,237568,2.2919818000000003,2.1962390500000004,1.0,starpilot
29,29,245760,2.42822478,2.8854181200000006,0.9999488592147827,starpilot
30,30,253952,2.0797325300000002,2.4618835199999998,0.8220168352127075,starpilot
31,31,262144,2.09296025,2.5294101799999997,0.2218170166015625,starpilot
32,32,270336,1.8321593200000001,2.3840582099999996,0.8164539933204651,starpilot
33,33,278528,2.2636939799999998,2.2362343399999998,0.9999368190765381,starpilot
34,34,286720,2.27153162,2.4130153399999994,0.9945095181465149,starpilot
35,35,294912,2.1544249900000003,2.6771584,0.9700258374214172,starpilot
36,36,303104,2.5936754300000002,2.35032565,0.855538010597229,starpilot
37,37,311296,2.40330596,2.44051229,0.9068183898925781,starpilot
38,38,319488,2.4305223399999996,2.51291123,0.8378798961639404,starpilot
39,39,327680,2.2781349899999994,2.0957430500000003,0.9382043480873108,starpilot
40,40,335872,2.43977333,2.3658408,0.8052017688751221,starpilot
41,41,344064,2.56934641,2.1886214699999997,0.7080904245376587,starpilot
42,42,352256,2.4461960400000002,2.3996895,0.698004424571991,starpilot
43,43,360448,2.16802715,2.19216924,0.8014506101608276,starpilot
44,44,368640,2.2270773700000004,2.0387277299999997,0.8285797834396362,starpilot
45,45,376832,2.2604270399999997,1.9479744700000001,0.7993906736373901,starpilot
46,46,385024,2.35477099,2.19296585,0.7395604848861694,starpilot
47,47,393216,2.53651718,2.2996462500000003,0.7126166820526123,starpilot
48,48,401408,1.98998146,2.2916171899999997,0.7805923223495483,starpilot
49,49,409600,2.23038527,2.3389372600000002,0.7838159203529358,starpilot
50,50,417792,2.5216435,2.3230529200000003,0.8376318216323853,starpilot
51,51,425984,2.35931099,2.13624618,0.8306235074996948,starpilot
52,52,434176,1.9630137200000002,2.7750397400000004,0.8104527592658997,starpilot
53,53,442368,3.104244719999999,2.5951584100000002,0.6233780384063721,starpilot
54,54,450560,2.59606607,2.50706667,0.682870090007782,starpilot
55,55,458752,2.23641182,1.9005689,0.8148106932640076,starpilot
56,56,466944,2.3689613499999997,2.28567068,0.6832424402236938,starpilot
57,57,475136,2.50204293,1.95097305,0.7585744857788086,starpilot
58,58,483328,2.8050177300000003,2.4859604099999997,0.7235082387924194,starpilot
59,59,491520,2.57404057,2.6229130099999995,0.814189076423645,starpilot
60,60,499712,2.5892001000000007,2.2687855000000003,0.84515780210495,starpilot
61,61,507904,2.85578043,2.0347293000000004,0.8594475388526917,starpilot
62,62,516096,2.9250901799999998,2.24754381,0.4828578233718872,starpilot
63,63,524288,2.47004834,2.0228688,0.6652847528457642,starpilot
64,64,532480,2.51756432,2.49008402,0.7728854417800903,starpilot
65,65,540672,2.61806287,2.4364605000000004,0.46067625284194946,starpilot
66,66,548864,2.2864785899999998,2.41029165,0.5870295763015747,starpilot
67,67,557056,2.43697821,2.71169465,0.8023016452789307,starpilot
68,68,565248,2.5851316099999995,2.42755758,0.8028041124343872,starpilot
69,69,573440,2.64996013,2.6382033899999997,0.5535203218460083,starpilot
70,70,581632,2.5046563,2.4727410699999997,0.5554203987121582,starpilot
71,71,589824,2.29018763,2.6178654199999998,0.6504554748535156,starpilot
72,72,598016,2.14333024,2.1573289599999996,0.6862687468528748,starpilot
73,73,606208,2.26599636,1.9750658299999997,0.5028569102287292,starpilot
74,74,614400,2.86525668,2.3448530599999997,0.4488465189933777,starpilot
75,75,622592,2.47440675,2.50835642,0.8351999521255493,starpilot
76,76,630784,2.3751138999999997,2.53612049,0.8504416942596436,starpilot
77,77,638976,2.5422589600000003,2.7699870800000004,0.8638944625854492,starpilot
78,78,647168,2.3757444100000003,2.4672365299999997,0.8655054569244385,starpilot
79,79,655360,2.5210010200000004,2.3560529300000006,0.8861715793609619,starpilot
80,80,663552,2.4690168299999997,2.51826045,0.8742774724960327,starpilot
81,81,671744,2.4658602399999996,2.851955450000001,0.6794631481170654,starpilot
82,82,679936,2.97663097,2.36949603,0.36195385456085205,starpilot
83,83,688128,2.9549520900000004,2.47725499,0.3984754979610443,starpilot
84,84,696320,2.726261439999999,2.4857434099999995,0.3212665319442749,starpilot
85,85,704512,2.5924699200000005,2.3240408500000003,0.8183649182319641,starpilot
86,86,712704,2.14034923,2.59664053,0.5574605464935303,starpilot
87,87,720896,2.4225125,2.1903522900000003,0.3682898283004761,starpilot
88,88,729088,2.3040476,2.61802547,0.8318046927452087,starpilot
89,89,737280,2.30204512,2.2730644899999994,0.8637510538101196,starpilot
90,90,745472,2.64208212,2.26385528,0.7645993828773499,starpilot
91,91,753664,2.74195357,2.42408027,0.729289174079895,starpilot
92,92,761856,2.54297255,2.5991751200000004,0.8774998188018799,starpilot
93,93,770048,2.55277607,1.81884942,0.5232782363891602,starpilot
94,94,778240,1.7942033700000002,1.9415575999999999,0.45302170515060425,starpilot
95,95,786432,2.4600641800000003,2.33533987,0.8553372621536255,starpilot
96,96,794624,2.6307330600000007,2.38804608,0.7472953796386719,starpilot
97,97,802816,2.77828306,2.7190957000000004,0.34379440546035767,starpilot
98,98,811008,3.0090548999999998,2.87372786,0.7974094152450562,starpilot
99,99,819200,3.05890529,2.84543655,0.715687096118927,starpilot
100,100,827392,2.46611403,2.5978529399999997,0.5368794202804565,starpilot
101,101,835584,2.8277507999999996,2.6922527399999994,0.8816423416137695,starpilot
102,102,843776,3.0655104600000005,2.6263088,0.9380166530609131,starpilot
103,103,851968,2.94279743,2.31559193,0.7808352708816528,starpilot
104,104,860160,2.4180165099999997,2.80578498,0.09628498554229736,starpilot
105,105,868352,2.64536328,2.6771888900000005,-0.11595001816749573,starpilot
106,106,876544,2.6699386799999996,2.53814995,0.5223012566566467,starpilot
107,107,884736,2.8392896900000006,2.74747885,0.8783968687057495,starpilot
108,108,892928,2.74927063,2.63148028,0.6921648979187012,starpilot
109,109,901120,2.51675051,2.57498715,0.4771825671195984,starpilot
110,110,909312,2.55851969,2.3729230000000006,0.6806978583335876,starpilot
111,111,917504,2.70797866,2.25561583,0.6387119293212891,starpilot
112,112,925696,2.6329681,2.5455599299999996,0.6620321273803711,starpilot
113,113,933888,2.9122220299999997,2.95607821,0.8182631731033325,starpilot
114,114,942080,2.7145952100000006,2.7556944899999998,0.8455771803855896,starpilot
115,115,950272,2.6504521100000007,2.7681372100000003,0.8521428108215332,starpilot
116,116,958464,2.6638567000000006,2.44796301,0.8055408000946045,starpilot
117,117,966656,2.55393243,2.8210915700000005,0.7963261604309082,starpilot
118,118,974848,3.0564566599999994,2.6222515200000003,0.7982521653175354,starpilot
119,119,983040,2.9467171700000008,2.89321282,0.8376893997192383,starpilot
120,120,991232,2.99828189,2.6312749700000007,0.8307161331176758,starpilot
121,121,999424,3.46812788,2.6097660400000002,0.7684436440467834,starpilot
122,122,1007616,3.01355896,2.35690207,0.8332449793815613,starpilot
123,123,1015808,2.75641685,2.6579948,0.7689967155456543,starpilot
124,124,1024000,2.820798359999999,2.8231229999999994,0.7691839933395386,starpilot
125,125,1032192,2.60153954,2.47696646,0.7317492961883545,starpilot
126,126,1040384,2.59501498,2.8048281,0.6780109405517578,starpilot
127,127,1048576,2.720539070000001,2.3607794799999997,0.7871949672698975,starpilot
128,128,1056768,2.36331176,2.3002592099999997,0.8420370221138,starpilot
129,129,1064960,2.7055068700000002,2.6060036600000003,0.8015064597129822,starpilot
130,130,1073152,3.1929244500000005,2.74191499,0.6515985131263733,starpilot
131,131,1081344,3.087535629999999,2.76627252,0.7497962713241577,starpilot
132,132,1089536,2.9224579899999994,2.42864377,0.8614535331726074,starpilot
133,133,1097728,2.8676608,2.800015629999999,0.8369358777999878,starpilot
134,134,1105920,3.05298287,2.99129674,0.871536135673523,starpilot
135,135,1114112,3.12173735,2.5166731299999996,0.8592984676361084,starpilot
136,136,1122304,3.2184817100000007,2.60757332,0.7904877662658691,starpilot
137,137,1130496,3.1359625400000004,3.17695052,0.8399207592010498,starpilot
138,138,1138688,3.0098306100000003,2.54281523,0.8315670490264893,starpilot
139,139,1146880,2.9338520800000008,3.1319680500000002,0.7903093099594116,starpilot
140,140,1155072,3.3579658399999994,3.0320579800000003,0.8608442544937134,starpilot
141,141,1163264,3.5307511999999996,2.8840966800000003,0.8599083423614502,starpilot
142,142,1171456,3.1387181799999997,2.81159528,0.5659102201461792,starpilot
143,143,1179648,3.3857325700000005,2.9959746399999996,0.730135977268219,starpilot
144,144,1187840,3.436026759999999,3.0498694600000005,0.7614138126373291,starpilot
145,145,1196032,3.1052133000000004,2.9977495,0.6902641654014587,starpilot
146,146,1204224,2.9340524599999998,3.083352510000001,0.888785719871521,starpilot
147,147,1212416,2.80574971,3.03437189,0.887866199016571,starpilot
148,148,1220608,3.0459347899999996,2.9811787899999995,0.8928992748260498,starpilot
149,149,1228800,3.34293298,3.2817863800000002,0.8584957122802734,starpilot
150,150,1236992,3.5819556500000003,3.20873538,0.7099363803863525,starpilot
151,151,1245184,3.6328945000000004,3.4673703999999996,0.39480704069137573,starpilot
152,152,1253376,3.4759084900000006,3.15703355,0.627659797668457,starpilot
153,153,1261568,3.5042100700000005,3.0680502500000006,0.6781297326087952,starpilot
154,154,1269760,3.4154949500000003,3.3122130400000005,0.6966170072555542,starpilot
155,155,1277952,3.1858964200000006,3.28227842,0.728834867477417,starpilot
156,156,1286144,3.3649161199999997,2.94618035,0.6423263549804688,starpilot
157,157,1294336,3.0034415,3.264618310000001,0.5786522626876831,starpilot
