,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,2.4682092555555557,2.3642285795454545,0.002588763367384672,starpilot
1,1,16384,1.43510209,1.4004522700000002,-0.0018846971215680242,starpilot
2,2,24576,1.42338965,1.7738691200000003,0.014729820191860199,starpilot
3,3,32768,1.7544297200000003,1.77762794,-0.02508361265063286,starpilot
4,4,40960,1.6604279000000002,1.47352583,-0.00967368297278881,starpilot
5,5,49152,1.4416246199999998,1.2581896200000002,-0.01521014329046011,starpilot
6,6,57344,1.46791322,1.7253775500000001,-0.005977459717541933,starpilot
7,7,65536,1.45006934,1.60707931,-0.027295073494315147,starpilot
8,8,73728,1.68874505,1.51461057,-0.010583841241896152,starpilot
9,9,81920,1.8730116799999996,1.82996681,-0.023552950471639633,starpilot
10,10,90112,1.9292848200000001,1.6308741300000003,-0.03754859045147896,starpilot
11,11,98304,1.9953801000000002,1.7107222100000001,-0.03796908259391785,starpilot
12,12,106496,2.0610641399999996,1.9854056599999999,-0.025217125192284584,starpilot
13,13,114688,2.09909667,2.1316923899999995,-0.045315131545066833,starpilot
14,14,122880,2.08179536,1.8875232300000002,-0.04595956951379776,starpilot
15,15,131072,2.37339888,2.08270772,-0.061345212161540985,starpilot
16,16,139264,2.1156702400000005,2.3286222700000003,-0.05490777641534805,starpilot
17,17,147456,2.55470634,2.5515911000000004,-0.05724218860268593,starpilot
18,18,155648,2.01150458,2.44830845,-0.042452264577150345,starpilot
19,19,163840,2.0656018699999996,2.12509981,-0.040649089962244034,starpilot
20,20,172032,2.0783889799999993,2.0516771699999996,-0.06174731254577637,starpilot
21,21,180224,1.8945259099999998,2.19936852,-0.04183867573738098,starpilot
22,22,188416,2.05854805,2.39503312,-0.056524425745010376,starpilot
23,23,196608,2.14626433,2.2102695800000003,-0.0686812624335289,starpilot
24,24,204800,1.7125736099999997,2.15353849,-0.05903154984116554,starpilot
25,25,212992,2.2008819500000003,2.14363506,-0.06979083269834518,starpilot
26,26,221184,2.06532457,2.0161234300000004,-0.03214868903160095,starpilot
27,27,229376,2.0533981800000003,1.8423519800000003,-0.0641721785068512,starpilot
28,28,237568,2.25648723,1.9688872700000002,-0.083491750061512,starpilot
29,29,245760,2.16618174,2.0394378200000003,-0.047661192715168,starpilot
30,30,253952,2.3911422699999996,2.2762508,-0.06303326040506363,starpilot
31,31,262144,2.5866799499999997,2.8075081000000006,-0.052596911787986755,starpilot
32,32,270336,2.14515171,2.6976496100000005,-0.01464084256440401,starpilot
33,33,278528,2.1278464,2.4622226499999997,-0.03037918359041214,starpilot
34,34,286720,2.5978207099999997,2.41890518,-0.05213314667344093,starpilot
35,35,294912,2.6379204100000004,2.43013995,-0.04662280157208443,starpilot
36,36,303104,2.77087609,2.6582576,-0.03871713951230049,starpilot
37,37,311296,2.46388385,2.22530372,-0.04856085777282715,starpilot
38,38,319488,2.37898619,2.59231674,-0.03227416053414345,starpilot
39,39,327680,2.5050965400000003,2.40244108,-0.045795951038599014,starpilot
40,40,335872,2.8836350399999997,2.4422034200000002,-0.04930282384157181,starpilot
41,41,344064,2.24751328,2.33936744,-0.04670396447181702,starpilot
42,42,352256,2.807389299999999,2.21697921,-0.04153793677687645,starpilot
43,43,360448,2.69995568,2.4075973800000003,-0.04997346177697182,starpilot
44,44,368640,2.4821400099999997,2.58010736,-0.06476441770792007,starpilot
45,45,376832,2.23480669,2.35817349,-0.05414937064051628,starpilot
46,46,385024,2.35604462,2.53481886,-0.052552711218595505,starpilot
47,47,393216,2.4909886300000004,2.5874542,-0.06345833837985992,starpilot
48,48,401408,2.41342129,2.40990054,-0.05674951896071434,starpilot
